period,timestep,scenario,location,demand
1,1,1900,GER,50030.18677190995
2,1,1900,GER,51088.540032805264
3,1,1900,GER,52142.63167865815
4,1,1900,GER,53188.21725444582
5,1,1900,GER,54221.08655608751
6,1,1900,GER,55237.080583450275
7,1,1900,GER,56232.10828717469
8,1,1900,GER,57202.16304188669
9,1,1900,GER,58143.33877946383
10,1,1900,GER,59051.84571739299
11,1,1900,GER,59924.025618887004
12,1,1900,GER,60756.366523313016
13,1,1900,GER,61545.516887618425
14,1,1900,GER,62288.29908181189
15,1,1900,GER,62981.72218415774
16,1,1900,GER,63622.994024562184
17,1,1900,GER,64209.53242765682
18,1,1900,GER,64738.975610307454
19,1,1900,GER,65209.19169168123
20,1,1900,GER,65618.28727757829
21,1,1900,GER,65964.61508446197
22,1,1900,GER,66246.78057248818
23,1,1900,GER,66463.6475608252
24,1,1900,GER,66614.34280265283
25,1,1900,GER,66698.25950141919
26,1,1900,GER,66715.05975419623
27,1,1900,GER,66664.67591229556
28,1,1900,GER,66547.31085366584
29,1,1900,GER,66363.43716597492
30,1,1900,GER,66113.79524366604
31,1,1900,GER,65799.39030665079
32,1,1900,GER,65421.488352643275
33,1,1900,GER,64981.61105943413
34,1,1900,GER,64481.52965763116
35,1,1900,GER,63923.257798538805
36,1,1900,GER,63309.04344589508
37,1,1900,GER,62641.359824114916
38,1,1900,GER,61922.895459488485
39,1,1900,GER,61156.54335443459
40,1,1900,GER,60345.3893384011
41,1,1900,GER,59492.69964231882
42,1,1900,GER,58601.90774664235
43,1,1900,GER,57676.60055593615
44,1,1900,GER,56720.50395567576
45,1,1900,GER,55737.46780942212
46,1,1900,GER,54731.4504567797
47,1,1900,GER,53706.502774560024
48,1,1900,GER,52666.7518653305
49,1,1900,GER,51616.384439028996
50,1,1900,GER,50559.62995456058
51,1,1900,GER,49500.74358925931
52,1,1900,GER,48443.9891047909
53,1,1900,GER,47393.6216784894
54,1,1900,GER,46353.87076925988
55,1,1900,GER,45328.9230870402
56,1,1900,GER,44322.90573439778
57,1,1900,GER,43339.86958814413
58,1,1900,GER,42383.77298788375
59,1,1900,GER,41458.465797177545
60,1,1900,GER,40567.673901501075
61,1,1900,GER,39714.98420541879
62,1,1900,GER,38903.830189385306
63,1,1900,GER,38137.47808433141
64,1,1900,GER,37419.01371970498
65,1,1900,GER,36751.33009792482
66,1,1900,GER,36137.11574528109
67,1,1900,GER,35578.84388618874
68,1,1900,GER,35078.76248438576
69,1,1900,GER,34638.88519117662
70,1,1900,GER,34260.9832371691
71,1,1900,GER,33946.57830015385
72,1,1900,GER,33696.93637784498
73,1,1900,GER,33513.06269015405
74,1,1900,GER,33395.69763152434
75,1,1900,GER,33345.31378962366
76,1,1900,GER,33362.1140424007
77,1,1900,GER,33446.030741167066
78,1,1900,GER,33596.7259829947
79,1,1900,GER,33813.59297133172
80,1,1900,GER,34095.75845935792
81,1,1900,GER,34442.086266241604
82,1,1900,GER,34851.18185213866
83,1,1900,GER,35321.39793351244
84,1,1900,GER,35850.84111616307
85,1,1900,GER,36437.37951925771
86,1,1900,GER,37078.65135966215
87,1,1900,GER,37772.074462008
88,1,1900,GER,38514.85665620146
89,1,1900,GER,39304.00702050688
90,1,1900,GER,40136.34792493288
91,1,1900,GER,41008.5278264269
92,1,1900,GER,41917.03476435606
93,1,1900,GER,42858.210501933194
94,1,1900,GER,43828.265256645194
95,1,1900,GER,44823.29296036962
96,1,1900,GER,45839.28698773238
97,1,1900,GER,46872.15628937406
98,1,1900,GER,47917.74186516173
99,1,1900,GER,48971.83351101463
100,1,1900,GER,50030.18677190994
