period,timestep,scenario,location,availability,technology
1,1,1900,GER,0.72925,WindOn
2,1,1900,GER,0.7287673056841343,WindOn
3,1,1900,GER,0.7273211663761832,WindOn
4,1,1900,GER,0.7249174051687339,WindOn
5,1,1900,GER,0.7215657011597764,WindOn
6,1,1900,GER,0.7172795504783916,WindOn
7,1,1900,GER,0.7120762119406034,WindOn
8,1,1900,GER,0.7059766375542175,WindOn
9,1,1900,GER,0.6990053881524809,WindOn
10,1,1900,GER,0.6911905344962757,WindOn
11,1,1900,GER,0.6825635442430713,WindOn
12,1,1900,GER,0.6731591552377749,WindOn
13,1,1900,GER,0.6630152356356905,WindOn
14,1,1900,GER,0.6521726314208225,WindOn
15,1,1900,GER,0.6406750019335142,WindOn
16,1,1900,GER,0.6285686440696947,WindOn
17,1,1900,GER,0.6159023058596179,WindOn
18,1,1900,GER,0.6027269901767507,WindOn
19,1,1900,GER,0.5890957493672022,WindOn
20,1,1900,GER,0.5750634716266513,WindOn
21,1,1900,GER,0.5606866599849539,WindOn
22,1,1900,GER,0.5460232047883852,WindOn
23,1,1900,GER,0.5311321505956466,WindOn
24,1,1900,GER,0.5160734584262674,WindOn
25,1,1900,GER,0.5009077643187422,WindOn
26,1,1900,GER,0.48569613517060484,WindOn
27,1,1900,GER,0.470499822843585,WindOn
28,1,1900,GER,0.45538001752397994,WindOn
29,1,1900,GER,0.44039760133137057,WindOn
30,1,1900,GER,0.42561290316781414,WindOn
31,1,1900,GER,0.41108545579464817,WindOn
32,1,1900,GER,0.39687375611507236,WindOn
33,1,1900,GER,0.38303502962776564,WindOn
34,1,1900,GER,0.36962500000000004,WindOn
35,1,1900,GER,0.35669766468810005,WindOn
36,1,1900,GER,0.34430507750874445,WindOn
37,1,1900,GER,0.33249713903661793,WindOn
38,1,1900,GER,0.3213213956724095,WindOn
39,1,1900,GER,0.3108228481902378,WindOn
40,1,1900,GER,0.30104377053541675,WindOn
41,1,1900,GER,0.2920235396021976,WindOn
42,1,1900,GER,0.28379847667691427,WindOn
43,1,1900,GER,0.2764017011849821,WindOn
44,1,1900,GER,0.2698629973306613,WindOn
45,1,1900,GER,0.26420869416657844,WindOn
46,1,1900,GER,0.25946155957592426,WindOn
47,1,1900,GER,0.25564070859422366,WindOn
48,1,1900,GER,0.25276152643983446,WindOn
49,1,1900,GER,0.250835606563103,WindOn
50,1,1900,GER,0.24987070396363137,WindOn
51,1,1900,GER,0.24987070396363134,WindOn
52,1,1900,GER,0.250835606563103,WindOn
53,1,1900,GER,0.2527615264398344,WindOn
54,1,1900,GER,0.25564070859422366,WindOn
55,1,1900,GER,0.2594615595759242,WindOn
56,1,1900,GER,0.26420869416657844,WindOn
57,1,1900,GER,0.2698629973306613,WindOn
58,1,1900,GER,0.2764017011849821,WindOn
59,1,1900,GER,0.2837984766769142,WindOn
60,1,1900,GER,0.2920235396021976,WindOn
61,1,1900,GER,0.30104377053541675,WindOn
62,1,1900,GER,0.31082284819023775,WindOn
63,1,1900,GER,0.32132139567240947,WindOn
64,1,1900,GER,0.3324971390366179,WindOn
65,1,1900,GER,0.3443050775087444,WindOn
66,1,1900,GER,0.35669766468810005,WindOn
67,1,1900,GER,0.36962499999999987,WindOn
68,1,1900,GER,0.3830350296277657,WindOn
69,1,1900,GER,0.39687375611507236,WindOn
70,1,1900,GER,0.4110854557946481,WindOn
71,1,1900,GER,0.42561290316781397,WindOn
72,1,1900,GER,0.44039760133137057,WindOn
73,1,1900,GER,0.45538001752397983,WindOn
74,1,1900,GER,0.4704998228435849,WindOn
75,1,1900,GER,0.48569613517060467,WindOn
76,1,1900,GER,0.5009077643187422,WindOn
77,1,1900,GER,0.5160734584262674,WindOn
78,1,1900,GER,0.5311321505956464,WindOn
79,1,1900,GER,0.5460232047883851,WindOn
80,1,1900,GER,0.5606866599849539,WindOn
81,1,1900,GER,0.5750634716266512,WindOn
82,1,1900,GER,0.5890957493672022,WindOn
83,1,1900,GER,0.6027269901767507,WindOn
84,1,1900,GER,0.6159023058596179,WindOn
85,1,1900,GER,0.6285686440696947,WindOn
86,1,1900,GER,0.6406750019335141,WindOn
87,1,1900,GER,0.6521726314208225,WindOn
88,1,1900,GER,0.6630152356356905,WindOn
89,1,1900,GER,0.6731591552377749,WindOn
90,1,1900,GER,0.6825635442430712,WindOn
91,1,1900,GER,0.6911905344962757,WindOn
92,1,1900,GER,0.6990053881524809,WindOn
93,1,1900,GER,0.7059766375542174,WindOn
94,1,1900,GER,0.7120762119406033,WindOn
95,1,1900,GER,0.7172795504783916,WindOn
96,1,1900,GER,0.7215657011597764,WindOn
97,1,1900,GER,0.7249174051687339,WindOn
98,1,1900,GER,0.7273211663761832,WindOn
99,1,1900,GER,0.7287673056841343,WindOn
100,1,1900,GER,0.72925,WindOn
