clustering,seed,num_periods,cost,time,distance,data,loss_ct,weights,demand,wind
stochastic,0,0,1.00293e7,1.3744369,N/A,stochastic,0,Any[],Any[],Any[]
convex_hull,0,10,1.02103e7,0.0117677,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 10, 10, 10, 10, 10, 10, 10, 10, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613]"
convex_hull,0,11,1.02103e7,0.0125243,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 11, 11, 11, 10, 10, 10, 10, 10, 10, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209]"
convex_hull,0,12,1.02103e7,0.0109719,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 12, 12, 12, 12, 12, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 12, 12, 12, 12, 11, 10, 10, 10, 10, 10, 10, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734, 46353.870769]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209, 0.255641]"
convex_hull,0,13,1.02103e7,0.0110224,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 12, 12, 12, 13, 13, 13, 13, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 13, 13, 13, 12, 12, 11, 10, 10, 10, 10, 10, 10, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734, 46353.870769, 48443.989105]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209, 0.255641, 0.250836]"
convex_hull,0,14,1.02103e7,0.0129437,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 2, 2, 2, 2, 2, 2, 14, 14, 14, 13, 13, 12, 12, 11, 10, 10, 10, 10, 10, 10, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734, 46353.870769, 48443.989105, 50559.629955]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209, 0.255641, 0.250836, 0.249871]"
convex_hull,0,15,1.02103e7,0.0143403,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 15, 15, 2, 2, 2, 2, 15, 15, 14, 14, 13, 13, 12, 12, 11, 10, 10, 10, 10, 10, 10, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734, 46353.870769, 48443.989105, 50559.629955, 52666.751865]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209, 0.255641, 0.250836, 0.249871, 0.252762]"
convex_hull,0,16,1.02269e7,0.010569,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 16, 16, 16, 16, 16, 16, 16, 10, 10, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 15, 15, 2, 2, 2, 2, 15, 15, 14, 14, 13, 13, 12, 12, 11, 10, 16, 16, 16, 16, 16, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734, 46353.870769, 48443.989105, 50559.629955, 52666.751865, 42383.772988]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209, 0.255641, 0.250836, 0.249871, 0.252762, 0.276402]"
convex_hull,0,17,1.02269e7,0.0120243,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 16, 16, 16, 16, 16, 16, 16, 10, 10, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 15, 15, 17, 2, 2, 17, 15, 15, 14, 14, 13, 13, 12, 12, 11, 10, 16, 16, 16, 16, 16, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734, 46353.870769, 48443.989105, 50559.629955, 52666.751865, 42383.772988, 53706.502775]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209, 0.255641, 0.250836, 0.249871, 0.252762, 0.276402, 0.255641]"
convex_hull,0,18,1.02269e7,0.0105091,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 16, 16, 16, 16, 16, 16, 16, 10, 10, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 15, 15, 17, 2, 18, 17, 15, 15, 14, 14, 13, 13, 12, 12, 11, 10, 16, 16, 16, 16, 16, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734, 46353.870769, 48443.989105, 50559.629955, 52666.751865, 42383.772988, 53706.502775, 54731.450457]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209, 0.255641, 0.250836, 0.249871, 0.252762, 0.276402, 0.255641, 0.259462]"
convex_hull,0,19,1.02269e7,0.0117816,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 19, 19, 19, 19, 19, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 16, 16, 16, 16, 16, 16, 16, 10, 10, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 15, 15, 17, 2, 18, 17, 15, 15, 14, 14, 13, 13, 12, 12, 11, 10, 16, 16, 16, 16, 16, 3, 3, 3, 3, 3, 19, 19, 19, 19, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 1, 1, 1, 1, 1, 9, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734, 46353.870769, 48443.989105, 50559.629955, 52666.751865, 42383.772988, 53706.502775, 54731.450457, 58143.338779]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209, 0.255641, 0.250836, 0.249871, 0.252762, 0.276402, 0.255641, 0.259462, 0.699005]"
convex_hull,0,2,1.13061e7,0.0171868,CosineDist,output,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[37078.65136, 55737.467809]","[0.640675, 0.264209]"
convex_hull,0,20,1.02269e7,0.0138707,CosineDist,output,2,"[5, 5, 4, 4, 4, 4, 4, 19, 19, 19, 19, 19, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 16, 16, 16, 16, 16, 16, 16, 10, 10, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 15, 15, 17, 2, 18, 17, 15, 15, 14, 14, 13, 13, 12, 12, 11, 10, 16, 16, 16, 16, 16, 3, 3, 3, 3, 3, 19, 19, 19, 19, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 20, 1, 1, 1, 1, 20, 9, 8, 7, 7, 6, 6, 6, 5, 5, 5, 5]","[37078.65136, 55737.467809, 36137.115745, 54221.086556, 47917.741865, 33813.592971, 34442.086266, 34851.181852, 35321.397934, 66113.795244, 44322.905734, 46353.870769, 48443.989105, 50559.629955, 52666.751865, 42383.772988, 53706.502775, 54731.450457, 58143.338779, 39304.007021]","[0.640675, 0.264209, 0.356698, 0.721566, 0.727321, 0.546023, 0.575063, 0.589096, 0.602727, 0.425613, 0.264209, 0.255641, 0.250836, 0.249871, 0.252762, 0.276402, 0.255641, 0.259462, 0.699005, 0.673159]"
