method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct,type,extreme
stochastic,stochastic,0,0,5.26577e7,70.1774135,N/A,closemixed,12144.796523,14,insample,none
cross_scenario,convex_hull,0,11,6.01534e7,4.1583929,CosineDist,closemixed,241808.720893,189,insample,none
cross_scenario,convex_hull,0,13,6.07663e7,4.2598963,CosineDist,closemixed,256947.507422,211,insample,none
cross_scenario,convex_hull,0,15,6.00963e7,7.2907224,CosineDist,closemixed,239949.748078,190,insample,none
cross_scenario,convex_hull,0,17,6.00639e7,8.1809993,CosineDist,closemixed,239148.608685,185,insample,none
cross_scenario,convex_hull,0,19,5.98925e7,10.5846949,CosineDist,closemixed,234771.560483,196,insample,none
cross_scenario,convex_hull,0,21,5.84465e7,10.8903359,CosineDist,closemixed,194386.164371,160,insample,none
cross_scenario,convex_hull,0,23,5.64331e7,11.8063557,CosineDist,closemixed,138740.654418,99,insample,none
cross_scenario,convex_hull,0,25,5.64752e7,12.7558524,CosineDist,closemixed,140398.325765,108,insample,none
cross_scenario,convex_hull,0,27,5.65807e7,15.7357762,CosineDist,closemixed,142862.326337,107,insample,none
cross_scenario,convex_hull,0,29,5.65646e7,16.2529277,CosineDist,closemixed,142346.815167,109,insample,none
cross_scenario,convex_hull,0,3,1.16127e8,0.9597733,CosineDist,closemixed,1.702396041214e6,829,insample,none
cross_scenario,convex_hull,0,31,5.67128e7,18.5461946,CosineDist,closemixed,147289.316664,111,insample,none
cross_scenario,convex_hull,0,33,5.69358e7,24.1271415,CosineDist,closemixed,152310.833166,114,insample,none
cross_scenario,convex_hull,0,35,5.6909e7,24.4000527,CosineDist,closemixed,151631.849357,117,insample,none
cross_scenario,convex_hull,0,37,5.69698e7,27.9514832,CosineDist,closemixed,153308.865729,117,insample,none
cross_scenario,convex_hull,0,39,5.63671e7,29.9174517,CosineDist,closemixed,129972.710759,93,insample,none
cross_scenario,convex_hull,0,41,5.53027e7,33.3082772,CosineDist,closemixed,103171.669529,71,insample,none
cross_scenario,convex_hull,0,5,1.02916e8,1.4537259,CosineDist,closemixed,1.364274839033e6,708,insample,none
cross_scenario,convex_hull,0,7,8.40511e7,2.2317576,CosineDist,closemixed,852442.132327,473,insample,none
cross_scenario,convex_hull,0,9,8.54315e7,2.8286208,CosineDist,closemixed,894959.431662,521,insample,none
cross_scenario,convex_hull,0,11,1.13119e8,3.4946686,SqEuclidean,closemixed,1.582685222285e6,580,insample,none
cross_scenario,convex_hull,0,13,1.16105e8,4.0186723,SqEuclidean,closemixed,1.664676196676e6,621,insample,none
cross_scenario,convex_hull,0,15,9.76166e7,7.0866022,SqEuclidean,closemixed,1.201425714926e6,450,insample,none
cross_scenario,convex_hull,0,17,9.8139e7,8.3827965,SqEuclidean,closemixed,1.214969959806e6,427,insample,none
cross_scenario,convex_hull,0,19,9.82782e7,11.1261003,SqEuclidean,closemixed,1.216492029699e6,455,insample,none
cross_scenario,convex_hull,0,21,9.79129e7,14.7102531,SqEuclidean,closemixed,1.206729423384e6,470,insample,none
cross_scenario,convex_hull,0,23,9.79295e7,12.9627032,SqEuclidean,closemixed,1.206871155892e6,468,insample,none
cross_scenario,convex_hull,0,25,9.44541e7,14.3001281,SqEuclidean,closemixed,1.091294164336e6,442,insample,none
cross_scenario,convex_hull,0,27,9.52211e7,15.3967598,SqEuclidean,closemixed,1.124148293555e6,405,insample,none
cross_scenario,convex_hull,0,29,8.11244e7,17.3850681,SqEuclidean,closemixed,762399.320297,349,insample,none
cross_scenario,convex_hull,0,3,1.15052e8,0.5439085,SqEuclidean,closemixed,1.640675338924e6,724,insample,none
cross_scenario,convex_hull,0,31,8.1016e7,21.1369711,SqEuclidean,closemixed,759489.751572,375,insample,none
cross_scenario,convex_hull,0,33,8.12402e7,21.4752697,SqEuclidean,closemixed,765215.139249,378,insample,none
cross_scenario,convex_hull,0,35,5.44308e7,18.0222936,SqEuclidean,closemixed,56105.609511,73,insample,none
cross_scenario,convex_hull,0,37,5.44519e7,19.2119818,SqEuclidean,closemixed,59050.55906,73,insample,none
cross_scenario,convex_hull,0,39,5.42636e7,20.2867248,SqEuclidean,closemixed,56469.499627,67,insample,none
cross_scenario,convex_hull,0,41,5.42928e7,18.3586376,SqEuclidean,closemixed,57234.940254,68,insample,none
cross_scenario,convex_hull,0,5,1.05712e8,1.127702,SqEuclidean,closemixed,1.38744103669e6,625,insample,none
cross_scenario,convex_hull,0,7,1.10228e8,2.0575366,SqEuclidean,closemixed,1.508572875618e6,606,insample,none
cross_scenario,convex_hull,0,9,1.09851e8,2.5036825,SqEuclidean,closemixed,1.498631080166e6,581,insample,none
cross_scenario,k_medoids,1355586937,11,7.54193e7,4.0258849,CosineDist,closemixed,636090.164156,403,insample,none
cross_scenario,k_medoids,1768760743,11,7.12576e7,3.679432,CosineDist,closemixed,529039.844247,383,insample,none
cross_scenario,k_medoids,2652796558,11,8.10252e7,3.7607822,CosineDist,closemixed,784307.690382,486,insample,none
cross_scenario,k_medoids,3000698040,11,9.35789e7,5.0146971,CosineDist,closemixed,1.097194283916e6,688,insample,none
cross_scenario,k_medoids,3160233726,11,6.15904e7,3.8126523,CosineDist,closemixed,281252.693029,222,insample,none
cross_scenario,k_medoids,3479820580,11,7.47887e7,4.5481933,CosineDist,closemixed,622206.995786,447,insample,none
cross_scenario,k_medoids,3649546841,11,6.03299e7,3.531933,CosineDist,closemixed,244474.254137,201,insample,none
cross_scenario,k_medoids,4031091536,11,7.99188e7,3.99569,CosineDist,closemixed,759190.434872,443,insample,none
cross_scenario,k_medoids,675182737,11,6.55669e7,3.7824494,CosineDist,closemixed,380890.1344,279,insample,none
cross_scenario,k_medoids,722170199,11,6.32797e7,3.3245803,CosineDist,closemixed,322174.781962,235,insample,none
cross_scenario,k_medoids,1020330993,13,6.26886e7,4.5279618,CosineDist,closemixed,310353.702663,234,insample,none
cross_scenario,k_medoids,1241334511,13,6.3978e7,4.9937277,CosineDist,closemixed,336507.971779,238,insample,none
cross_scenario,k_medoids,1561739573,13,5.75471e7,4.9018305,CosineDist,closemixed,164699.305656,153,insample,none
cross_scenario,k_medoids,2082789969,13,7.66154e7,5.2048854,CosineDist,closemixed,673855.452477,451,insample,none
cross_scenario,k_medoids,2422820678,13,6.58584e7,4.8254893,CosineDist,closemixed,393376.483602,273,insample,none
