method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
stochastic,stochastic,0,0,4.41669e7,117.9532383,N/A,centered,9702.399359,7
cross_scenario,convex_hull,0,11,4.42271e7,3.2196726,CosineDist,centered,11005.073398,7
cross_scenario,convex_hull,0,13,4.43126e7,3.9361891,CosineDist,centered,11855.075472,10
cross_scenario,convex_hull,0,15,4.42701e7,5.586371,CosineDist,centered,11227.051077999999,7
cross_scenario,convex_hull,0,17,4.42382e7,5.4835336,CosineDist,centered,11545.684757,7
cross_scenario,convex_hull,0,19,4.42397e7,8.0611282,CosineDist,centered,10846.209481,7
cross_scenario,convex_hull,0,21,4.42293e7,9.7442177,CosineDist,centered,11045.137417999998,7
cross_scenario,convex_hull,0,23,4.42294e7,10.0183752,CosineDist,centered,10789.540863999999,7
cross_scenario,convex_hull,0,25,4.42314e7,11.9316666,CosineDist,centered,10198.229711,7
cross_scenario,convex_hull,0,27,4.42078e7,12.5416369,CosineDist,centered,11184.017710999999,7
cross_scenario,convex_hull,0,29,4.42093e7,15.5499636,CosineDist,centered,11183.108709,7
cross_scenario,convex_hull,0,3,4.68108e7,0.8987254,CosineDist,centered,0.0,0
cross_scenario,convex_hull,0,31,4.41962e7,14.3874447,CosineDist,centered,11555.809706,7
cross_scenario,convex_hull,0,33,4.41965e7,17.5089034,CosineDist,centered,11563.663454,7
cross_scenario,convex_hull,0,35,4.41774e7,16.4059683,CosineDist,centered,10750.35874,7
cross_scenario,convex_hull,0,37,4.41737e7,19.6072307,CosineDist,centered,10943.528476000001,7
cross_scenario,convex_hull,0,39,4.41758e7,22.6301476,CosineDist,centered,10584.486813999998,7
cross_scenario,convex_hull,0,41,4.41761e7,21.7295889,CosineDist,centered,11285.343948,7
cross_scenario,convex_hull,0,5,4.43763e7,1.4744731,CosineDist,centered,10387.170553,7
cross_scenario,convex_hull,0,7,4.43734e7,1.9154286,CosineDist,centered,11174.179163000003,7
cross_scenario,convex_hull,0,9,4.43098e7,2.6224752,CosineDist,centered,11177.270413,7
cross_scenario,convex_hull,0,11,4.44041e7,3.4051622,SqEuclidean,centered,8890.489428,7
cross_scenario,convex_hull,0,13,4.43534e7,4.636401,SqEuclidean,centered,8664.876192,7
cross_scenario,convex_hull,0,15,4.43243e7,5.4877392,SqEuclidean,centered,8112.365067999999,7
cross_scenario,convex_hull,0,17,4.426e7,6.6861673,SqEuclidean,centered,8100.495001,7
cross_scenario,convex_hull,0,19,4.42552e7,7.5612423,SqEuclidean,centered,11109.503799999999,7
cross_scenario,convex_hull,0,21,4.42605e7,9.2886879,SqEuclidean,centered,10988.653357,7
cross_scenario,convex_hull,0,23,4.42207e7,10.1182868,SqEuclidean,centered,10765.169385,7
cross_scenario,convex_hull,0,25,4.42179e7,11.5751684,SqEuclidean,centered,10431.062324,7
