method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,convex_hull,0,11,4.46211e7,6.5017021,CosineDist,centered,11005.073398,7
cross_scenario,convex_hull,0,13,4.4731e7,6.3781393,CosineDist,centered,11641.106905000002,10
cross_scenario,convex_hull,0,15,4.4697e7,6.2694647,CosineDist,centered,11227.051077999999,7
cross_scenario,convex_hull,0,17,4.46447e7,5.8392406,CosineDist,centered,11545.684757,7
cross_scenario,convex_hull,0,19,4.46544e7,6.2102832,CosineDist,centered,10846.209481,7
cross_scenario,convex_hull,0,21,4.46403e7,5.8058733,CosineDist,centered,11045.137417999998,7
cross_scenario,convex_hull,0,23,4.464e7,6.4631778,CosineDist,centered,10789.540863999999,7
cross_scenario,convex_hull,0,25,4.46359e7,5.9683728,CosineDist,centered,10198.229711,7
cross_scenario,convex_hull,0,27,4.45968e7,6.5989067,CosineDist,centered,11184.017710999999,7
cross_scenario,convex_hull,0,29,4.45891e7,6.2520145,CosineDist,centered,11183.108709,7
cross_scenario,convex_hull,0,3,4.70105e7,5.8528947,CosineDist,centered,0.0,0
cross_scenario,convex_hull,0,31,4.45816e7,7.0548104,CosineDist,centered,11555.809706,7
cross_scenario,convex_hull,0,33,4.45874e7,6.901134,CosineDist,centered,11563.663454,7
cross_scenario,convex_hull,0,35,4.45274e7,6.3531028,CosineDist,centered,10750.35874,7
cross_scenario,convex_hull,0,37,4.45303e7,6.6813824,CosineDist,centered,10943.528476000001,7
cross_scenario,convex_hull,0,39,4.45412e7,6.7752008,CosineDist,centered,10584.486813999998,7
cross_scenario,convex_hull,0,41,4.45371e7,6.4784456,CosineDist,centered,11285.343948,7
cross_scenario,convex_hull,0,5,4.47144e7,7.6513946,CosineDist,centered,10387.170553,7
cross_scenario,convex_hull,0,7,4.4778e7,7.174899,CosineDist,centered,11174.179163000003,7
cross_scenario,convex_hull,0,9,4.47305e7,5.9892562,CosineDist,centered,11177.270413,7
cross_scenario,convex_hull,0,11,4.47772e7,6.5365739,SqEuclidean,centered,8890.489428,7
cross_scenario,convex_hull,0,13,4.47209e7,5.7442833,SqEuclidean,centered,8664.876192,7
cross_scenario,convex_hull,0,15,4.46949e7,5.8682964,SqEuclidean,centered,8112.365067999999,7
cross_scenario,convex_hull,0,17,4.46477e7,5.8811177,SqEuclidean,centered,8100.495001,7
cross_scenario,convex_hull,0,19,4.46554e7,6.3650255,SqEuclidean,centered,11109.503799999999,7
