rp,clustering,seed,num_periods,investment_cost,operational_cost,runtime,process_time,distance,data,loss_ct,loss,type,year
cross,conical_bounded,1,100,3.32485e9,1.22263e12,21.3207939,92.5116758,SqEuclidean,blended,573,7.0373310328359995e6,initial,initial
cross,conical_bounded,1,100,3.32485e9,5.70989e9,30.8205897,24.6256076,SqEuclidean,blended,524,1.930514672094e6,insample,1982
cross,conical_bounded,1,100,3.32485e9,6.29985e9,25.8463604,23.8393157,SqEuclidean,blended,396,2.473408002224001e6,insample,1986
cross,conical_bounded,1,100,3.32485e9,4.32714e9,25.4771956,26.5445284,SqEuclidean,blended,231,593086.5184780002,insample,1990
cross,conical_bounded,1,100,3.32485e9,5.68407e9,26.545187,26.5905225,SqEuclidean,blended,344,1.9104175902139999e6,insample,1994
cross,conical_bounded,1,100,3.32485e9,4.82504e9,25.9307184,23.9386911,SqEuclidean,blended,269,1.031395721717e6,insample,1998
cross,conical_bounded,1,100,3.32485e9,4.94558e9,26.4270413,25.3539634,SqEuclidean,blended,356,1.1634557607820001e6,insample,2004
cross,conical_bounded,1,100,3.32485e9,4.77359e9,33.272247,35.2447285,SqEuclidean,blended,234,1.0027820110280002e6,insample,2008
cross,conical_bounded,1,100,3.32485e9,5.37303e9,26.5058012,25.6674102,SqEuclidean,blended,408,1.618457074358e6,insample,2011
cross,conical_bounded,1,100,3.32485e9,4.50683e9,25.0011108,25.0933631,SqEuclidean,blended,220,685341.9970270001,insample,2012
cross,conical_bounded,1,100,3.32485e9,4.98058e9,24.9270083,26.0712252,SqEuclidean,blended,272,1.187513636505e6,insample,2016
cross,conical_bounded,1,20,3.31611e9,1.153e12,2.664151,55.762166300000004,SqEuclidean,blended,547,6.963901222793e6,initial,initial
cross,conical_bounded,1,20,3.31611e9,5.7762e9,24.4583192,23.4219425,SqEuclidean,blended,543,1.9833359738869998e6,insample,1982
cross,conical_bounded,1,20,3.31611e9,6.39774e9,24.5893857,23.4677721,SqEuclidean,blended,431,2.5566040071550007e6,insample,1986
cross,conical_bounded,1,20,3.31611e9,4.36654e9,23.6850564,26.1367798,SqEuclidean,blended,250,619147.580044,insample,1990
cross,conical_bounded,1,20,3.31611e9,5.73908e9,24.7764269,25.5111789,SqEuclidean,blended,363,1.952539169801e6,insample,1994
cross,conical_bounded,1,20,3.31611e9,4.88834e9,24.0128491,24.961353,SqEuclidean,blended,301,1.0797244477789998e6,insample,1998
cross,conical_bounded,1,20,3.31611e9,5.03691e9,24.4680775,25.2727492,SqEuclidean,blended,373,1.2407370920250001e6,insample,2004
cross,conical_bounded,1,20,3.31611e9,4.82332e9,29.981592,34.361633,SqEuclidean,blended,249,1.0394367469380002e6,insample,2008
cross,conical_bounded,1,20,3.31611e9,5.43545e9,24.9426964,25.778237500000003,SqEuclidean,blended,416,1.6678750205169993e6,insample,2011
cross,conical_bounded,1,20,3.31611e9,4.5954e9,24.5419112,24.4625238,SqEuclidean,blended,245,758865.2330929999,insample,2012
cross,conical_bounded,1,20,3.31611e9,5.03498e9,23.8436401,26.4788102,SqEuclidean,blended,286,1.2275016866300001e6,insample,2016
cross,conical_bounded,1,50,3.32301e9,1.17125e12,9.1571302,68.199502,SqEuclidean,blended,556,7.006817076776e6,initial,initial
cross,conical_bounded,1,50,3.32301e9,5.76702e9,25.7423833,24.3030796,SqEuclidean,blended,534,1.9850434251309999e6,insample,1982
cross,conical_bounded,1,50,3.32301e9,6.38008e9,25.1464136,25.0933004,SqEuclidean,blended,429,2.550270466657e6,insample,1986
cross,conical_bounded,1,50,3.32301e9,4.34681e9,24.8477507,25.0531511,SqEuclidean,blended,241,610531.1782840001,insample,1990
cross,conical_bounded,1,50,3.32301e9,5.72181e9,26.500844,24.9187415,SqEuclidean,blended,367,1.9458864262639997e6,insample,1994
cross,conical_bounded,1,50,3.32301e9,4.87034e9,25.2214178,24.5699523,SqEuclidean,blended,293,1.0731493113880001e6,insample,1998
cross,conical_bounded,1,50,3.32301e9,5.01232e9,25.3414301,24.812632999999998,SqEuclidean,blended,368,1.2270903505429998e6,insample,2004
cross,conical_bounded,1,50,3.32301e9,4.80459e9,31.5177459,33.854740699999994,SqEuclidean,blended,245,1.0314862085350001e6,insample,2008
cross,conical_bounded,1,50,3.32301e9,5.41755e9,25.0798701,24.988715499999998,SqEuclidean,blended,414,1.6602437798309994e6,insample,2011
cross,conical_bounded,1,50,3.32301e9,4.5768e9,25.5761184,25.471724000000002,SqEuclidean,blended,238,751487.9862759999,insample,2012
cross,conical_bounded,1,50,3.32301e9,5.00787e9,25.657489,26.4946061,SqEuclidean,blended,261,1.2120804843220003e6,insample,2016
cross,convex_hull,1,100,3.39208e9,1.20394e12,22.2530481,102.76985189999999,SqEuclidean,blended,595,7.242435640156e6,initial,initial
cross,convex_hull,1,100,3.39208e9,5.43368e9,26.9088379,25.5003267,SqEuclidean,blended,415,1.6565302037349998e6,insample,1982
cross,convex_hull,1,100,3.39208e9,5.9142e9,27.0974245,25.349356999999998,SqEuclidean,blended,298,2.0890965066669998e6,insample,1986
cross,convex_hull,1,100,3.39208e9,4.19823e9,26.4153338,25.196407,SqEuclidean,blended,170,466214.79935499997,insample,1990
cross,convex_hull,1,100,3.39208e9,5.53382e9,26.0900583,26.6212493,SqEuclidean,blended,281,1.7615882833939998e6,insample,1994
cross,convex_hull,1,100,3.39208e9,4.60495e9,25.6715483,25.0080617,SqEuclidean,blended,207,813063.289012,insample,1998
cross,convex_hull,1,100,3.39208e9,4.6224e9,25.9752345,25.0012534,SqEuclidean,blended,228,840921.4928690001,insample,2004
cross,convex_hull,1,100,3.39208e9,4.64528e9,33.2778182,33.4784697,SqEuclidean,blended,191,875393.880505,insample,2008
