rp,clustering,seed,num_periods,investment_cost,data,windon,windoff,solar
cross,conical_bounded,1,100,3.90614e9,blended,2.5449753458454996e7,8.984315762944998e6,2.5091843743591e7
cross,conical_bounded,1,20,4.0758e9,blended,2.6019125032513e7,9.915595926695e6,2.5502498092253003e7
cross,conical_bounded,1,200,4.20919e9,blended,2.6047561842197e7,1.1e7,2.5541963748267997e7
cross,conical_bounded,1,400,4.11755e9,blended,2.6051355114657e7,1.0233227308551999e7,2.5538409764163002e7
cross,conical_bounded,1,50,3.92415e9,blended,2.5505617794318e7,9.036582188114999e6,2.5308153600928e7
cross,conical_bounded,1,800,4.11174e9,blended,2.6040171636388e7,1.0191596124591e7,2.553950868949e7
cross,convex_hull,1,100,3.9055e9,blended,2.5450934627736e7,8.960337244277999e6,2.515416241716e7
cross,convex_hull,1,20,4.00467e9,blended,2.6017625211289e7,9.334660015369e6,2.5460138483355e7
cross,convex_hull,1,200,4.08091e9,blended,2.6018292770701e7,9.963494300773e6,2.5486343692111e7
cross,convex_hull,1,400,4.11834e9,blended,2.6028838180167e7,1.0253772554521e7,2.5540393070726003e7
cross,convex_hull,1,50,3.96871e9,blended,2.5503727129155e7,9.342143169738e6,2.5544554459129e7
cross,convex_hull,1,800,4.12317e9,blended,2.6069461967065e7,1.0268121856457999e7,2.553950868949e7
per,conical_bounded,1,100,4.20725e9,blended,2.6018446773836e7,1.1005469927053e7,2.5531927679549e7
per,conical_bounded,1,20,4.20689e9,blended,2.601742071716e7,1.1e7,2.5542829873909e7
per,conical_bounded,1,200,4.0997e9,blended,2.6029549379187997e7,1.0102542177523e7,2.5523385826271e7
per,conical_bounded,1,400,4.09035e9,blended,2.6031487616184e7,1.0033156730973998e7,2.5488489609649003e7
per,conical_bounded,1,50,4.11647e9,blended,2.6018446773836e7,1.0255602554421e7,2.5502878277676e7
per,conical_bounded,1,800,4.0268e9,blended,2.6058532714476e7,9.482166784450999e6,2.5498186015015002e7
per,convex_hull,1,100,4.20762e9,blended,2.6027286241722997e7,1.1e7,2.5541921193308e7
per,convex_hull,1,20,4.21032e9,blended,2.601742071716e7,1.1e7,2.5642726920647e7
per,convex_hull,1,200,4.21011e9,blended,2.6026698186222e7,1.1020381638924e7,2.5544742734926e7
per,convex_hull,1,400,4.21512e9,blended,2.6059386110078e7,1.1037812949721001e7,2.5556295839416e7
per,convex_hull,1,50,4.20664e9,blended,2.6019029820543e7,1.1e7,2.5531927679549e7
per,convex_hull,1,800,4.12741e9,blended,2.6060827299688e7,1.0314392490699003e7,2.5521178953006e7
cross,k_medoids,1005471400,100,4.21794e9,blended,2.606449615542e7,1.105903686733e7,2.5552931212975e7
cross,k_medoids,1262311769,100,4.20943e9,blended,2.6019366753937e7,1.1010608027758e7,2.5575532503062002e7
cross,k_medoids,1400059389,100,4.22557e9,blended,2.601947037626e7,1.1134413619987e7,2.5613655952988997e7
cross,k_medoids,1693313909,100,4.21037e9,blended,2.6020628849134e7,1.1029353248859e7,2.5534624777149003e7
cross,k_medoids,2483487299,100,4.21034e9,blended,2.6018694814149998e7,1.1018874617917001e7,2.5574607569036003e7
