rp,clustering,seed,num_periods,investment_cost,operational_cost,runtime,process_time,distance,data,loss_ct,loss,type,year
stochastic,stochastic,0,0,1637000000,5462907107.850531,7193.952717016,57.882562147,stochastic,stochastic,443,1581187.2108669996,initial,1982
stochastic,stochastic,0,0,1637000000,5875456773.509085,7193.952717016,57.882562147,stochastic,stochastic,321,1957225.841969,initial,1986
stochastic,stochastic,0,0,1637000000,4338499272.805052,7193.952717016,57.882562147,stochastic,stochastic,214,511422.155028,initial,1990
stochastic,stochastic,0,0,1637000000,5665368653.391409,7193.952717016,57.882562147,stochastic,stochastic,293,1792356.990848,initial,1994
stochastic,stochastic,0,0,1637000000,4683377687.44595,7193.952717016,57.882562147,stochastic,stochastic,244,796920.0439459999,initial,1998
stochastic,stochastic,0,0,1637000000,4786003178.682861,7193.952717016,57.882562147,stochastic,stochastic,279,899717.0879139999,initial,2004
stochastic,stochastic,0,0,1637000000,4685802546.823786,7193.952717016,57.882562147,stochastic,stochastic,197,824758.1735779999,initial,2008
stochastic,stochastic,0,0,1637000000,5035908663.267149,7193.952717016,57.882562147,stochastic,stochastic,391,1176944.9966320002,initial,2011
stochastic,stochastic,0,0,1637000000,4502311084.887692,7193.952717016,57.882562147,stochastic,stochastic,233,591775.04524,initial,2012
stochastic,stochastic,0,0,1637000000,4775221199.000237,7193.952717016,57.882562147,stochastic,stochastic,215,881634.7127059998,initial,2016
stochastic,stochastic,0,0,1637000000,5282900000,38.98538,33.689653,stochastic,stochastic,339,1415832.3518869998,outsample,1984
stochastic,stochastic,0,0,1637000000,4666510000,38.1357524,33.505764400000004,stochastic,stochastic,218,808835.90769,outsample,1988
stochastic,stochastic,0,0,1637000000,5671710000,35.7425289,32.9207163,stochastic,stochastic,336,1799229.0969379998,outsample,1992
stochastic,stochastic,0,0,1637000000,5954180000,37.7995058,34.378161,stochastic,stochastic,436,2016797.090275,outsample,1996
stochastic,stochastic,0,0,1637000000,5037440000,37.0236786,32.1137035,stochastic,stochastic,356,1204203.6594339998,outsample,2000
stochastic,stochastic,0,0,1637000000,5037670000,35.9993668,33.7309731,stochastic,stochastic,278,1175572.130795,outsample,2002
stochastic,stochastic,0,0,1637000000,5565500000,36.3186056,31.1680382,stochastic,stochastic,422,1664931.2028710002,outsample,2006
stochastic,stochastic,0,0,1637000000,5099940000,36.9058592,32.3729336,stochastic,stochastic,350,1114175.5709,outsample,2010
stochastic,stochastic,0,0,1637000000,4692210000,37.3084615,35.748983700000004,stochastic,stochastic,233,835214.4394919999,outsample,2015
