rp,clustering,seed,num_periods,investment_cost,operational_cost,runtime,process_time,distance,data,loss_ct,loss,type,year
per,conical_bounded,1,100,4.20725e9,6.73628e11,24.2561274,74.1103053,SqEuclidean,blended,3662,3.9353977020043e7,initial,initial
per,conical_bounded,1,100,4.20725e9,5.13669e9,40.0159748,37.1015933,SqEuclidean,blended,313,1.3935436303399997e6,insample,1982
per,conical_bounded,1,100,4.20725e9,5.63736e9,31.0846421,33.5250839,SqEuclidean,blended,251,1.846130213505e6,insample,1986
per,conical_bounded,1,100,4.20725e9,4.14774e9,34.1565435,30.8172934,SqEuclidean,blended,138,448610.02520199993,insample,1990
per,conical_bounded,1,100,4.20725e9,5.48319e9,41.5550598,42.8845887,SqEuclidean,blended,263,1.7454725146519998e6,insample,1994
per,conical_bounded,1,100,4.20725e9,4.56301e9,69.5971128,81.3511597,SqEuclidean,blended,165,805157.2813210001,insample,1998
per,conical_bounded,1,100,4.20725e9,4.50226e9,28.8451686,28.4951098,SqEuclidean,blended,197,752381.2926,insample,2004
per,conical_bounded,1,100,4.20725e9,4.59625e9,32.9941509,34.4371414,SqEuclidean,blended,160,859327.1316460002,insample,2008
per,conical_bounded,1,100,4.20725e9,4.81187e9,32.4257729,30.3690169,SqEuclidean,blended,240,1.0907468705809996e6,insample,2011
per,conical_bounded,1,100,4.20725e9,4.2598e9,31.3510118,32.287465600000004,SqEuclidean,blended,126,473007.9229860001,insample,2012
per,conical_bounded,1,100,4.20725e9,4.64683e9,31.2712093,34.3091281,SqEuclidean,blended,165,887293.513017,insample,2016
per,conical_bounded,1,20,4.20689e9,7.67545e11,3.3449683,74.53686429999999,SqEuclidean,blended,3543,3.9133424357154995e7,initial,initial
per,conical_bounded,1,20,4.20689e9,5.14116e9,36.8940218,37.4539072,SqEuclidean,blended,317,1.396732785743e6,insample,1982
per,conical_bounded,1,20,4.20689e9,5.65082e9,38.4330238,40.9361898,SqEuclidean,blended,261,1.858239846243e6,insample,1986
per,conical_bounded,1,20,4.20689e9,4.15273e9,36.8663531,40.2854832,SqEuclidean,blended,139,452461.798239,insample,1990
per,conical_bounded,1,20,4.20689e9,5.49523e9,35.9155747,34.942632700000004,SqEuclidean,blended,272,1.7562156646529995e6,insample,1994
per,conical_bounded,1,20,4.20689e9,4.57615e9,38.3105876,37.9744186,SqEuclidean,blended,171,817057.610574,insample,1998
per,conical_bounded,1,20,4.20689e9,4.52506e9,36.4771706,39.1793431,SqEuclidean,blended,206,774025.6188690001,insample,2004
per,conical_bounded,1,20,4.20689e9,4.60121e9,36.3873195,36.3492897,SqEuclidean,blended,164,863014.0333640001,insample,2008
per,conical_bounded,1,20,4.20689e9,4.82289e9,37.0748863,36.732658,SqEuclidean,blended,243,1.1004137816809998e6,insample,2011
per,conical_bounded,1,20,4.20689e9,4.2678e9,37.175503,37.9087511,SqEuclidean,blended,126,479637.941027,insample,2012
per,conical_bounded,1,20,4.20689e9,4.65434e9,34.8638791,31.8488083,SqEuclidean,blended,168,893521.686744,insample,2016
per,conical_bounded,1,200,4.0997e9,6.43641e11,66.6134043,84.4373336,SqEuclidean,blended,3718,3.954019888660199e7,initial,initial
per,conical_bounded,1,200,4.0997e9,5.15786e9,32.5800042,30.1984164,SqEuclidean,blended,367,1.416583562685999e6,insample,1982
per,conical_bounded,1,200,4.0997e9,5.6378e9,32.4959476,32.6576723,SqEuclidean,blended,263,1.848310760748e6,insample,1986
per,conical_bounded,1,200,4.0997e9,4.13825e9,37.9858619,30.3147059,SqEuclidean,blended,158,440709.600926,insample,1990
per,conical_bounded,1,200,4.0997e9,5.43911e9,42.5948439,42.4442418,SqEuclidean,blended,270,1.7032181585409995e6,insample,1994
per,conical_bounded,1,200,4.0997e9,4.52363e9,65.7314845,82.7641873,SqEuclidean,blended,182,767281.552385,insample,1998
per,conical_bounded,1,200,4.0997e9,4.45385e9,29.9276515,28.1512329,SqEuclidean,blended,194,705652.1044069999,insample,2004
per,conical_bounded,1,200,4.0997e9,4.56069e9,34.2369159,33.2786607,SqEuclidean,blended,175,825237.672372,insample,2008
per,conical_bounded,1,200,4.0997e9,4.7842e9,32.310939,31.2233932,SqEuclidean,blended,256,1.0647436552299997e6,insample,2011
per,conical_bounded,1,200,4.0997e9,4.24439e9,33.2469519,30.040688099999997,SqEuclidean,blended,141,459439.198343,insample,2012
per,conical_bounded,1,200,4.0997e9,4.59658e9,32.6282202,32.8861251,SqEuclidean,blended,164,838968.980981,insample,2016
per,conical_bounded,1,50,4.11647e9,5.96845e11,12.7527223,91.2506249,SqEuclidean,blended,3649,3.932257211867499e7,initial,initial
per,conical_bounded,1,50,4.11647e9,5.13922e9,37.5756897,36.5063958,SqEuclidean,blended,328,1.3963999909779998e6,insample,1982
per,conical_bounded,1,50,4.11647e9,5.63253e9,36.1975571,37.5966484,SqEuclidean,blended,244,1.841607760629e6,insample,1986
per,conical_bounded,1,50,4.11647e9,4.1415e9,35.4452982,33.679344699999994,SqEuclidean,blended,143,442615.412929,insample,1990
per,conical_bounded,1,50,4.11647e9,5.47432e9,38.4620581,35.9622612,SqEuclidean,blended,262,1.736877336262e6,insample,1994
per,conical_bounded,1,50,4.11647e9,4.54751e9,36.4291675,36.6163491,SqEuclidean,blended,169,789891.8391230002,insample,1998
per,conical_bounded,1,50,4.11647e9,4.46262e9,36.3533265,35.284998800000004,SqEuclidean,blended,182,712851.066574,insample,2004
per,conical_bounded,1,50,4.11647e9,4.5923e9,36.6656914,34.0105528,SqEuclidean,blended,165,855629.731147,insample,2008
per,conical_bounded,1,50,4.11647e9,4.79333e9,35.8545769,35.206329499999995,SqEuclidean,blended,234,1.0724450972619995e6,insample,2011
per,conical_bounded,1,50,4.11647e9,4.25078e9,38.2687464,34.2925009,SqEuclidean,blended,129,464289.050221,insample,2012
per,conical_bounded,1,50,4.11647e9,4.63908e9,37.7219386,37.3611015,SqEuclidean,blended,166,879792.8484319999,insample,2016
per,convex_hull,1,100,4.20762e9,7.47502e11,26.3300638,72.33150979999999,SqEuclidean,blended,3608,3.9211296611449994e7,initial,initial
per,convex_hull,1,100,4.20762e9,5.13583e9,33.1623056,31.0464917,SqEuclidean,blended,321,1.3930088507569996e6,insample,1982
per,convex_hull,1,100,4.20762e9,5.63702e9,32.2264009,31.7185137,SqEuclidean,blended,252,1.846147764499e6,insample,1986
per,convex_hull,1,100,4.20762e9,4.1455e9,34.0196342,33.5491483,SqEuclidean,blended,135,446608.545545,insample,1990
per,convex_hull,1,100,4.20762e9,5.48411e9,42.2157434,42.4119977,SqEuclidean,blended,264,1.746754882358e6,insample,1994
per,convex_hull,1,100,4.20762e9,4.56843e9,66.2144588,77.7632918,SqEuclidean,blended,171,810887.898904,insample,1998
per,convex_hull,1,100,4.20762e9,4.51348e9,28.5907389,29.8194499,SqEuclidean,blended,208,763992.6964940001,insample,2004
per,convex_hull,1,100,4.20762e9,4.59445e9,32.2467404,33.4208472,SqEuclidean,blended,164,857805.50411,insample,2008
per,convex_hull,1,100,4.20762e9,4.81792e9,31.9930511,30.901039,SqEuclidean,blended,241,1.0971763239619995e6,insample,2011
per,convex_hull,1,100,4.20762e9,4.26586e9,31.3138879,32.2746841,SqEuclidean,blended,125,479467.1547770002,insample,2012
per,convex_hull,1,100,4.20762e9,4.64615e9,32.1046641,32.0343306,SqEuclidean,blended,167,886979.379036,insample,2016
per,convex_hull,1,20,4.21032e9,8.87314e11,3.8958989,73.8284765,SqEuclidean,blended,3550,3.9133264739499e7,initial,initial
per,convex_hull,1,20,4.21032e9,5.14325e9,40.8574614,41.2227456,SqEuclidean,blended,316,1.396732785743e6,insample,1982
per,convex_hull,1,20,4.21032e9,5.65283e9,40.4358037,41.9779963,SqEuclidean,blended,261,1.858239846243e6,insample,1986
per,convex_hull,1,20,4.21032e9,4.15464e9,40.5852957,42.7226374,SqEuclidean,blended,140,452461.798239,insample,1990
per,convex_hull,1,20,4.21032e9,5.49734e9,41.1763457,42.1963659,SqEuclidean,blended,270,1.7562156646529995e6,insample,1994
per,convex_hull,1,20,4.21032e9,4.57819e9,37.9634095,43.3297541,SqEuclidean,blended,173,817057.6105739999,insample,1998
per,convex_hull,1,20,4.21032e9,4.52698e9,39.989222,40.3949013,SqEuclidean,blended,208,774025.6188690001,insample,2004
per,convex_hull,1,20,4.21032e9,4.60317e9,40.3322882,42.8287208,SqEuclidean,blended,163,863014.0333639999,insample,2008
per,convex_hull,1,20,4.21032e9,4.82483e9,39.6758201,41.548248,SqEuclidean,blended,242,1.100413781681e6,insample,2011
per,convex_hull,1,20,4.21032e9,4.26994e9,42.5888855,45.6418926,SqEuclidean,blended,126,479637.9410270001,insample,2012
per,convex_hull,1,20,4.21032e9,4.65635e9,40.2094781,41.3848534,SqEuclidean,blended,166,893521.686744,insample,2016
per,convex_hull,1,200,4.21011e9,7.41308e11,53.6736819,81.8789967,SqEuclidean,blended,3313,3.9277773466414005e7,initial,initial
per,convex_hull,1,200,4.21011e9,5.12568e9,32.7102241,32.7864725,SqEuclidean,blended,313,1.3825055310849997e6,insample,1982
per,convex_hull,1,200,4.21011e9,5.61373e9,31.1529605,31.765577,SqEuclidean,blended,246,1.822379165206e6,insample,1986
per,convex_hull,1,200,4.21011e9,4.1327e9,34.7309699,30.8982603,SqEuclidean,blended,134,433515.832063,insample,1990
per,convex_hull,1,200,4.21011e9,5.46212e9,42.9720237,41.410776000000006,SqEuclidean,blended,260,1.72433740535e6,insample,1994
per,convex_hull,1,200,4.21011e9,4.5397e9,67.1712889,80.4596725,SqEuclidean,blended,158,781731.4629500002,insample,1998
per,convex_hull,1,200,4.21011e9,4.45525e9,29.7690083,30.2579149,SqEuclidean,blended,184,705203.228829,insample,2004
per,convex_hull,1,200,4.21011e9,4.58297e9,32.7337242,31.3631852,SqEuclidean,blended,154,845974.571161,insample,2008
per,convex_hull,1,200,4.21011e9,4.78815e9,32.1866414,34.0867497,SqEuclidean,blended,235,1.066910894324e6,insample,2011
per,convex_hull,1,200,4.21011e9,4.24507e9,32.6840186,30.1540739,SqEuclidean,blended,123,458230.09746500006,insample,2012
