location,technology,time_step,availability,scenario,period,timestep
AUS,SunPV,1,0.0,1900,1,1
AUS,SunPV,2,0.0,1900,1,2
AUS,SunPV,3,0.0,1900,1,3
AUS,SunPV,4,0.0,1900,1,4
AUS,SunPV,5,0.0,1900,1,5
AUS,SunPV,6,0.0,1900,1,6
AUS,SunPV,7,0.0,1900,1,7
AUS,SunPV,8,0.01,1900,1,8
AUS,SunPV,9,0.088,1900,1,9
AUS,SunPV,10,0.107,1900,1,10
AUS,SunPV,11,0.097,1900,1,11
AUS,SunPV,12,0.096,1900,1,12
AUS,SunPV,13,0.081,1900,1,13
AUS,SunPV,14,0.076,1900,1,14
AUS,SunPV,15,0.048,1900,1,15
AUS,SunPV,16,0.005,1900,1,16
AUS,SunPV,17,0.0,1900,1,17
AUS,SunPV,18,0.0,1900,1,18
AUS,SunPV,19,0.0,1900,1,19
AUS,SunPV,20,0.0,1900,1,20
AUS,SunPV,21,0.0,1900,1,21
AUS,SunPV,22,0.0,1900,1,22
AUS,SunPV,23,0.0,1900,1,23
AUS,SunPV,24,0.0,1900,1,24
AUS,SunPV,3577,0.0,1900,150,1
AUS,SunPV,3578,0.0,1900,150,2
AUS,SunPV,3579,0.0,1900,150,3
AUS,SunPV,3580,0.0,1900,150,4
AUS,SunPV,3581,0.026,1900,150,5
AUS,SunPV,3582,0.122,1900,150,6
AUS,SunPV,3583,0.258,1900,150,7
AUS,SunPV,3584,0.376,1900,150,8
AUS,SunPV,3585,0.457,1900,150,9
AUS,SunPV,3586,0.51,1900,150,10
AUS,SunPV,3587,0.478,1900,150,11
AUS,SunPV,3588,0.418,1900,150,12
AUS,SunPV,3589,0.384,1900,150,13
AUS,SunPV,3590,0.313,1900,150,14
AUS,SunPV,3591,0.244,1900,150,15
AUS,SunPV,3592,0.173,1900,150,16
AUS,SunPV,3593,0.104,1900,150,17
AUS,SunPV,3594,0.056,1900,150,18
AUS,SunPV,3595,0.009,1900,150,19
AUS,SunPV,3596,0.0,1900,150,20
AUS,SunPV,3597,0.0,1900,150,21
AUS,SunPV,3598,0.0,1900,150,22
AUS,SunPV,3599,0.0,1900,150,23
AUS,SunPV,3600,0.0,1900,150,24
AUS,SunPV,7177,0.0,1900,300,1
AUS,SunPV,7178,0.0,1900,300,2
AUS,SunPV,7179,0.0,1900,300,3
AUS,SunPV,7180,0.0,1900,300,4
AUS,SunPV,7181,0.0,1900,300,5
AUS,SunPV,7182,0.0,1900,300,6
AUS,SunPV,7183,0.025,1900,300,7
AUS,SunPV,7184,0.132,1900,300,8
AUS,SunPV,7185,0.225,1900,300,9
AUS,SunPV,7186,0.307,1900,300,10
AUS,SunPV,7187,0.407,1900,300,11
AUS,SunPV,7188,0.455,1900,300,12
AUS,SunPV,7189,0.434,1900,300,13
AUS,SunPV,7190,0.365,1900,300,14
AUS,SunPV,7191,0.243,1900,300,15
AUS,SunPV,7192,0.083,1900,300,16
AUS,SunPV,7193,0.002,1900,300,17
AUS,SunPV,7194,0.0,1900,300,18
AUS,SunPV,7195,0.0,1900,300,19
AUS,SunPV,7196,0.0,1900,300,20
AUS,SunPV,7197,0.0,1900,300,21
AUS,SunPV,7198,0.0,1900,300,22
AUS,SunPV,7199,0.0,1900,300,23
AUS,SunPV,7200,0.0,1900,300,24
AUS,WindOff,1,0.0,1900,1,1
AUS,WindOff,2,0.0,1900,1,2
AUS,WindOff,3,0.0,1900,1,3
AUS,WindOff,4,0.0,1900,1,4
AUS,WindOff,5,0.0,1900,1,5
AUS,WindOff,6,0.0,1900,1,6
AUS,WindOff,7,0.0,1900,1,7
AUS,WindOff,8,0.0,1900,1,8
AUS,WindOff,9,0.0,1900,1,9
AUS,WindOff,10,0.0,1900,1,10
AUS,WindOff,11,0.0,1900,1,11
AUS,WindOff,12,0.0,1900,1,12
AUS,WindOff,13,0.0,1900,1,13
AUS,WindOff,14,0.0,1900,1,14
AUS,WindOff,15,0.0,1900,1,15
AUS,WindOff,16,0.0,1900,1,16
AUS,WindOff,17,0.0,1900,1,17
AUS,WindOff,18,0.0,1900,1,18
AUS,WindOff,19,0.0,1900,1,19
AUS,WindOff,20,0.0,1900,1,20
AUS,WindOff,21,0.0,1900,1,21
AUS,WindOff,22,0.0,1900,1,22
AUS,WindOff,23,0.0,1900,1,23
AUS,WindOff,24,0.0,1900,1,24
AUS,WindOff,3577,0.0,1900,150,1
AUS,WindOff,3578,0.0,1900,150,2
AUS,WindOff,3579,0.0,1900,150,3
AUS,WindOff,3580,0.0,1900,150,4
AUS,WindOff,3581,0.0,1900,150,5
AUS,WindOff,3582,0.0,1900,150,6
AUS,WindOff,3583,0.0,1900,150,7
AUS,WindOff,3584,0.0,1900,150,8
AUS,WindOff,3585,0.0,1900,150,9
AUS,WindOff,3586,0.0,1900,150,10
AUS,WindOff,3587,0.0,1900,150,11
AUS,WindOff,3588,0.0,1900,150,12
AUS,WindOff,3589,0.0,1900,150,13
AUS,WindOff,3590,0.0,1900,150,14
AUS,WindOff,3591,0.0,1900,150,15
AUS,WindOff,3592,0.0,1900,150,16
AUS,WindOff,3593,0.0,1900,150,17
AUS,WindOff,3594,0.0,1900,150,18
AUS,WindOff,3595,0.0,1900,150,19
AUS,WindOff,3596,0.0,1900,150,20
AUS,WindOff,3597,0.0,1900,150,21
AUS,WindOff,3598,0.0,1900,150,22
AUS,WindOff,3599,0.0,1900,150,23
AUS,WindOff,3600,0.0,1900,150,24
AUS,WindOff,7177,0.0,1900,300,1
AUS,WindOff,7178,0.0,1900,300,2
AUS,WindOff,7179,0.0,1900,300,3
AUS,WindOff,7180,0.0,1900,300,4
AUS,WindOff,7181,0.0,1900,300,5
AUS,WindOff,7182,0.0,1900,300,6
AUS,WindOff,7183,0.0,1900,300,7
AUS,WindOff,7184,0.0,1900,300,8
AUS,WindOff,7185,0.0,1900,300,9
AUS,WindOff,7186,0.0,1900,300,10
AUS,WindOff,7187,0.0,1900,300,11
AUS,WindOff,7188,0.0,1900,300,12
AUS,WindOff,7189,0.0,1900,300,13
AUS,WindOff,7190,0.0,1900,300,14
AUS,WindOff,7191,0.0,1900,300,15
AUS,WindOff,7192,0.0,1900,300,16
AUS,WindOff,7193,0.0,1900,300,17
AUS,WindOff,7194,0.0,1900,300,18
AUS,WindOff,7195,0.0,1900,300,19
AUS,WindOff,7196,0.0,1900,300,20
AUS,WindOff,7197,0.0,1900,300,21
AUS,WindOff,7198,0.0,1900,300,22
AUS,WindOff,7199,0.0,1900,300,23
AUS,WindOff,7200,0.0,1900,300,24
AUS,WindOn,1,0.115,1900,1,1
AUS,WindOn,2,0.134,1900,1,2
AUS,WindOn,3,0.156,1900,1,3
AUS,WindOn,4,0.155,1900,1,4
AUS,WindOn,5,0.168,1900,1,5
AUS,WindOn,6,0.188,1900,1,6
AUS,WindOn,7,0.204,1900,1,7
AUS,WindOn,8,0.201,1900,1,8
AUS,WindOn,9,0.159,1900,1,9
AUS,WindOn,10,0.156,1900,1,10
AUS,WindOn,11,0.191,1900,1,11
AUS,WindOn,12,0.193,1900,1,12
AUS,WindOn,13,0.197,1900,1,13
AUS,WindOn,14,0.249,1900,1,14
AUS,WindOn,15,0.313,1900,1,15
AUS,WindOn,16,0.318,1900,1,16
AUS,WindOn,17,0.292,1900,1,17
AUS,WindOn,18,0.3,1900,1,18
AUS,WindOn,19,0.284,1900,1,19
AUS,WindOn,20,0.243,1900,1,20
AUS,WindOn,21,0.219,1900,1,21
AUS,WindOn,22,0.19,1900,1,22
AUS,WindOn,23,0.178,1900,1,23
AUS,WindOn,24,0.155,1900,1,24
AUS,WindOn,3577,0.364,1900,150,1
AUS,WindOn,3578,0.291,1900,150,2
AUS,WindOn,3579,0.208,1900,150,3
AUS,WindOn,3580,0.137,1900,150,4
AUS,WindOn,3581,0.063,1900,150,5
AUS,WindOn,3582,0.026,1900,150,6
AUS,WindOn,3583,0.03,1900,150,7
AUS,WindOn,3584,0.049,1900,150,8
AUS,WindOn,3585,0.052,1900,150,9
AUS,WindOn,3586,0.043,1900,150,10
AUS,WindOn,3587,0.04,1900,150,11
AUS,WindOn,3588,0.048,1900,150,12
AUS,WindOn,3589,0.063,1900,150,13
AUS,WindOn,3590,0.078,1900,150,14
AUS,WindOn,3591,0.087,1900,150,15
AUS,WindOn,3592,0.089,1900,150,16
AUS,WindOn,3593,0.086,1900,150,17
AUS,WindOn,3594,0.105,1900,150,18
AUS,WindOn,3595,0.184,1900,150,19
AUS,WindOn,3596,0.318,1900,150,20
AUS,WindOn,3597,0.345,1900,150,21
AUS,WindOn,3598,0.293,1900,150,22
AUS,WindOn,3599,0.251,1900,150,23
AUS,WindOn,3600,0.217,1900,150,24
AUS,WindOn,7177,0.348,1900,300,1
AUS,WindOn,7178,0.34,1900,300,2
AUS,WindOn,7179,0.313,1900,300,3
AUS,WindOn,7180,0.288,1900,300,4
AUS,WindOn,7181,0.287,1900,300,5
AUS,WindOn,7182,0.293,1900,300,6
AUS,WindOn,7183,0.294,1900,300,7
