location,rep_period,time_step,scenario,loss_of_load
NED,1,148,1982,12.599906613643952
NED,1,149,1982,952.634522217838
NED,1,150,1982,1880.2719874905665
NED,1,151,1982,2699.3562839691053
NED,1,152,1982,3315.3801803069987
NED,1,153,1982,2914.716601898417
NOR,1,187,1982,2860.3589460891008
NOR,1,188,1982,5107.382049305139
NOR,1,189,1982,5708.229230270332
NOR,1,190,1982,5789.176544357936
NOR,1,191,1982,13.57954440974811
NOR,1,192,1982,847.2160259230232
NED,1,281,1982,4984.964547020243
NED,1,282,1982,4714.908735719716
NED,1,283,1982,5339.477251820608
NED,1,284,1982,6097.3884120720895
NED,1,285,1982,5597.053967183427
NED,1,286,1982,5144.386136984246
NED,1,287,1982,5846.084348723692
NED,1,288,1982,5321.132175797232
NED,1,289,1982,1501.10336790262
NED,1,290,1982,988.8484632383552
NED,1,291,1982,440.455957922175
NOR,1,345,1982,4118.114558511252
NOR,1,346,1982,4654.258777929248
NOR,1,347,1982,1408.6997495290161
NED,1,425,1982,741.0280398135646
NED,1,532,1982,792.2985745456972
NED,1,533,1982,2196.031727650221
NOR,1,533,1982,3435.8116214336155
NED,1,534,1982,2608.7853309402635
NOR,1,534,1982,6781.669510177238
NED,1,535,1982,3450.9146976784914
NOR,1,535,1982,9143.554280760784
NED,1,536,1982,3720.842591532263
NOR,1,536,1982,7392.528099943864
NED,1,537,1982,4538.767032259636
NOR,1,537,1982,4030.6320556637693
NED,1,538,1982,3232.2006556747606
NED,1,539,1982,1207.394784938997
NED,1,541,1982,2512.035670327914
NED,1,542,1982,3934.35028940055
NED,1,543,1982,4906.117727505287
NED,1,544,1982,6740.572072520187
NED,1,545,1982,8383.866545089257
NED,1,546,1982,9364.397932609218
NED,1,547,1982,10207.777435989507
NED,1,548,1982,10478.684131136299
NED,1,549,1982,8941.480120532842
NED,1,550,1982,7312.9368185609355
NED,1,551,1982,4174.663645621679
NED,1,552,1982,1761.6883045418085
NED,1,553,1982,692.8164644499811
NOR,1,553,1982,2615.7868274586954
NOR,1,554,1982,1953.4111139949073
NOR,1,567,1982,3758.2131536569705
NOR,1,568,1982,10168.59631282949
NED,1,569,1982,559.3103224608737
NOR,1,569,1982,7959.364168758265
NOR,1,570,1982,4803.97967029835
NOR,1,571,1982,4945.161044444569
NOR,1,572,1982,1518.101368319386
NOR,1,650,1982,267.3845276183547
NOR,1,651,1982,7384.917556632436
NOR,1,689,1982,6411.235138651638
NOR,1,690,1982,10287.934436209773
