from,to,rep_period,time_step,scenario,flow
AUS,BLK,1,1,1982,1686.0
AUS,BLK,1,2,1982,1686.0
AUS,BLK,1,3,1982,1686.0
AUS,BLK,1,4,1982,1686.0
AUS,BLK,1,5,1982,390.57641856503324
AUS,BLK,1,6,1982,-1746.0
AUS,BLK,1,7,1982,-1746.0
AUS,BLK,1,8,1982,-1746.0
AUS,BLK,1,9,1982,-1746.0
AUS,BLK,1,10,1982,-1746.0
AUS,BLK,1,11,1982,-1746.0
AUS,BLK,1,12,1982,-1746.0
AUS,BLK,1,13,1982,-1746.0
AUS,BLK,1,14,1982,-1746.0
AUS,BLK,1,15,1982,-1746.0
AUS,BLK,1,16,1982,-1746.0
AUS,BLK,1,17,1982,-1746.0
AUS,BLK,1,18,1982,-1746.0
AUS,BLK,1,19,1982,-1746.0
AUS,BLK,1,20,1982,-1746.0
AUS,BLK,1,21,1982,-1746.0
AUS,BLK,1,22,1982,-1746.0
AUS,BLK,1,23,1982,-1746.0
AUS,BLK,1,24,1982,-1746.0
AUS,BLK,1,25,1982,-1746.0
AUS,BLK,1,26,1982,-1746.0
AUS,BLK,1,27,1982,-1010.6034233144464
AUS,BLK,1,28,1982,-112.1166910370066
AUS,BLK,1,29,1982,183.77799013736876
AUS,BLK,1,30,1982,-1450.8744634376449
AUS,BLK,1,31,1982,-1746.0
AUS,BLK,1,32,1982,-1746.0
AUS,BLK,1,33,1982,151.04670010489463
AUS,BLK,1,34,1982,-1746.0
AUS,BLK,1,35,1982,-1584.342946272238
AUS,BLK,1,36,1982,1615.277080991631
AUS,BLK,1,37,1982,-576.5691545387781
AUS,BLK,1,38,1982,518.0694729403986
AUS,BLK,1,39,1982,-1746.0
AUS,BLK,1,40,1982,-1746.0
AUS,BLK,1,41,1982,-1746.0
AUS,BLK,1,42,1982,-1746.0
AUS,BLK,1,43,1982,-1746.0
AUS,BLK,1,44,1982,-1746.0
AUS,BLK,1,45,1982,1686.0
AUS,BLK,1,46,1982,1686.0
AUS,BLK,1,47,1982,1686.0
AUS,BLK,1,48,1982,1686.0
AUS,BLK,1,49,1982,1686.0
AUS,BLK,1,50,1982,1686.0
AUS,BLK,1,51,1982,1686.0
AUS,BLK,1,52,1982,1686.0
AUS,BLK,1,53,1982,1686.0
AUS,BLK,1,54,1982,1686.0
AUS,BLK,1,55,1982,1686.0
AUS,BLK,1,56,1982,1686.0
AUS,BLK,1,57,1982,1686.0
AUS,BLK,1,58,1982,1686.0
AUS,BLK,1,59,1982,1686.0
