location,technology,capacity,units
AUS,Gas,4750.0,19
AUS,SunPV,2800.0,56
AUS,WindOn,31600.0,316
BEL,WindOn,21500.0,215
BLK,Nuclear,13000.0,13
BLK,WindOn,53400.0,534
BLT,Gas,500.0,2
BLT,WindOn,6700.0,67
CZE,Nuclear,10000.0,10
DEN,Gas,7250.0,29
FIN,WindOn,18300.0,183
FRA,Gas,1250.0,5
FRA,Nuclear,59000.0,59
GER,Gas,22500.0,90
GER,WindOff,60200.0,602
IRE,WindOn,10700.0,107
ITA,Gas,12000.0,48
ITA,SunPV,20100.000000000015,402
ITA,WindOn,59200.0,592
NED,WindOff,34100.0,341
NED,WindOn,4900.0,49
NOR,WindOn,94100.0,941
POL,Gas,5250.0,21
POL,WindOn,34200.0,342
POR,Gas,1000.0,4
POR,SunPV,350.0000000000379,7
POR,WindOn,1700.0,17
SKO,Nuclear,2000.0,2
SPA,Nuclear,23000.0,23
SWE,Nuclear,14000.0,14
SWI,Nuclear,16000.0,16
UKI,Nuclear,33000.0,33
UKI,WindOn,34400.0,344
