from,to,rep_period,time_step,scenario,flow
AUS,BLK,1,1,1982,-1746.0
AUS,BLK,1,2,1982,-1746.0
AUS,BLK,1,3,1982,-1746.0
AUS,BLK,1,4,1982,-1746.0
AUS,BLK,1,5,1982,-1746.0
AUS,BLK,1,6,1982,-1746.0
AUS,BLK,1,7,1982,-1746.0
AUS,BLK,1,8,1982,-1746.0
AUS,BLK,1,9,1982,-1746.0
AUS,BLK,1,10,1982,-1746.0
AUS,BLK,1,11,1982,-1746.0
AUS,BLK,1,12,1982,-1746.0
AUS,BLK,1,13,1982,-1746.0
AUS,BLK,1,14,1982,-1746.0
AUS,BLK,1,15,1982,-1746.0
AUS,BLK,1,16,1982,-1746.0
AUS,BLK,1,17,1982,-1746.0
AUS,BLK,1,18,1982,-1746.0
AUS,BLK,1,19,1982,-1746.0
AUS,BLK,1,20,1982,-1746.0
AUS,BLK,1,21,1982,-1746.0
AUS,BLK,1,22,1982,-1746.0
AUS,BLK,1,23,1982,-1746.0
AUS,BLK,1,24,1982,-1746.0
AUS,BLK,2,1,1982,1686.0
AUS,BLK,2,2,1982,1686.0
AUS,BLK,2,3,1982,1686.0
AUS,BLK,2,4,1982,1686.0
AUS,BLK,2,5,1982,1686.0
AUS,BLK,2,6,1982,1686.0
AUS,BLK,2,7,1982,1686.0
AUS,BLK,2,8,1982,1686.0
AUS,BLK,2,9,1982,1686.0
AUS,BLK,2,10,1982,1686.0
AUS,BLK,2,11,1982,1686.0
AUS,BLK,2,12,1982,1686.0
AUS,BLK,2,13,1982,1686.0
AUS,BLK,2,14,1982,1686.0
AUS,BLK,2,15,1982,1686.0
AUS,BLK,2,16,1982,1686.0
AUS,BLK,2,17,1982,1686.0
AUS,BLK,2,18,1982,1686.0
AUS,BLK,2,19,1982,1686.0
AUS,BLK,2,20,1982,1686.0
AUS,BLK,2,21,1982,1686.0
AUS,BLK,2,22,1982,1686.0
AUS,BLK,2,23,1982,1686.0
AUS,BLK,2,24,1982,1686.0
AUS,BLK,3,1,1982,-1746.0
AUS,BLK,3,2,1982,-1746.0
AUS,BLK,3,3,1982,-1746.0
AUS,BLK,3,4,1982,-1746.0
AUS,BLK,3,5,1982,-1746.0
AUS,BLK,3,6,1982,-1746.0
AUS,BLK,3,7,1982,-1746.0
AUS,BLK,3,8,1982,-1746.0
AUS,BLK,3,9,1982,-1746.0
AUS,BLK,3,10,1982,-1746.0
AUS,BLK,3,11,1982,-1746.0
AUS,BLK,3,12,1982,-1746.0
AUS,BLK,3,13,1982,-1746.0
AUS,BLK,3,14,1982,-1746.0
AUS,BLK,3,15,1982,-1746.0
AUS,BLK,3,16,1982,-1746.0
AUS,BLK,3,17,1982,-1746.0
AUS,BLK,3,18,1982,-1746.0
AUS,BLK,3,19,1982,-1746.0
AUS,BLK,3,20,1982,-1746.0
AUS,BLK,3,21,1982,-1746.0
AUS,BLK,3,22,1982,-1746.0
AUS,BLK,3,23,1982,-1746.0
AUS,BLK,3,24,1982,-1746.0
AUS,CZE,1,1,1982,-900.0
AUS,CZE,1,2,1982,-900.0
AUS,CZE,1,3,1982,-900.0
AUS,CZE,1,4,1982,-900.0
AUS,CZE,1,5,1982,-900.0
AUS,CZE,1,6,1982,-900.0
AUS,CZE,1,7,1982,-900.0
AUS,CZE,1,8,1982,-900.0
AUS,CZE,1,9,1982,-900.0
AUS,CZE,1,10,1982,-900.0
AUS,CZE,1,11,1982,-900.0
AUS,CZE,1,12,1982,-900.0
AUS,CZE,1,13,1982,-900.0
AUS,CZE,1,14,1982,-900.0
