location,technology,rep_period,time_step,scenario,production
AUS,Gas,1,10,1982,3562.5
AUS,Gas,1,14,1982,3562.5
AUS,Gas,1,16,1982,3562.5
AUS,Gas,1,17,1982,2584.0854266172646
AUS,Gas,1,18,1982,4750.0
AUS,Gas,1,19,1982,1584.7431076292523
AUS,Gas,3,14,1982,186.06212040678724
AUS,Gas,3,15,1982,449.9779021366792
AUS,SunPV,1,8,1982,7.521407399930124
AUS,SunPV,1,9,1982,440.52969176060725
AUS,SunPV,1,10,1982,810.9224439290339
AUS,SunPV,1,11,1982,1079.321913552785
AUS,SunPV,1,12,1982,1218.3650192761413
AUS,SunPV,1,13,1982,1172.8726971068306
AUS,SunPV,1,14,1982,948.6534258680229
AUS,SunPV,1,15,1982,603.562854260898
AUS,SunPV,1,16,1982,224.96202024772612
AUS,SunPV,2,8,1982,41.14440563389469
AUS,SunPV,2,9,1982,294.80808447570394
AUS,SunPV,2,10,1982,549.2402284390462
AUS,SunPV,2,11,1982,731.8720463870035
AUS,SunPV,2,12,1982,834.6739730946865
AUS,SunPV,2,13,1982,842.2183926417355
AUS,SunPV,2,14,1982,718.0940934185235
AUS,SunPV,2,15,1982,463.70739737793053
AUS,SunPV,2,16,1982,138.86054676842653
AUS,SunPV,3,8,1982,4.071533413939537
AUS,SunPV,3,9,1982,386.55486043673085
AUS,SunPV,3,10,1982,711.904089225842
AUS,SunPV,3,11,1982,938.826001781628
AUS,SunPV,3,12,1982,1064.6173200582623
AUS,SunPV,3,13,1982,1046.9583373764233
AUS,SunPV,3,14,1982,870.0743131714819
AUS,SunPV,3,15,1982,563.3734084083283
AUS,SunPV,3,16,1982,167.86295346446263
AUS,WindOn,1,1,1982,5612.415469221542
AUS,WindOn,1,2,1982,5916.585688678331
AUS,WindOn,1,3,1982,6312.263667042708
AUS,WindOn,1,4,1982,6593.842790204183
AUS,WindOn,1,5,1982,6611.623771645842
AUS,WindOn,1,6,1982,6678.617145490214
AUS,WindOn,1,7,1982,6716.475794010624
AUS,WindOn,1,8,1982,6515.436852593174
AUS,WindOn,1,9,1982,6198.373498843611
