from,to,rep_period,time_step,scenario,flow
AUS,BLK,1,1,cross,1686.0
AUS,BLK,1,2,cross,1686.0
AUS,BLK,1,3,cross,1686.0
AUS,BLK,1,4,cross,1686.0
AUS,BLK,1,5,cross,1686.0
AUS,BLK,1,6,cross,1686.0
AUS,BLK,1,7,cross,1686.0
AUS,BLK,1,8,cross,1686.0
AUS,BLK,1,9,cross,1686.0
AUS,BLK,1,10,cross,1686.0
AUS,BLK,1,11,cross,1686.0
AUS,BLK,1,12,cross,1188.569978770004
AUS,BLK,1,13,cross,1686.0
AUS,BLK,1,14,cross,1686.0
AUS,BLK,1,15,cross,1686.0
AUS,BLK,1,16,cross,1686.0
AUS,BLK,1,17,cross,1686.0
AUS,BLK,1,18,cross,1686.0
AUS,BLK,1,19,cross,1686.0
AUS,BLK,1,20,cross,1686.0
AUS,BLK,1,21,cross,1686.0
AUS,BLK,1,22,cross,1686.0
AUS,BLK,1,23,cross,1686.0
AUS,BLK,1,24,cross,1686.0
AUS,BLK,2,1,cross,1686.0
AUS,BLK,2,2,cross,1686.0
AUS,BLK,2,3,cross,1686.0
AUS,BLK,2,4,cross,1686.0
AUS,BLK,2,5,cross,1686.0
AUS,BLK,2,6,cross,1686.0
AUS,BLK,2,7,cross,1686.0
AUS,BLK,2,8,cross,1686.0
AUS,BLK,2,9,cross,1686.0
AUS,BLK,2,10,cross,1686.0
AUS,BLK,2,11,cross,1686.0
AUS,BLK,2,12,cross,1686.0
AUS,BLK,2,13,cross,1686.0
AUS,BLK,2,14,cross,1686.0
AUS,BLK,2,15,cross,1686.0
AUS,BLK,2,16,cross,885.462021490006
AUS,BLK,2,17,cross,1686.0
AUS,BLK,2,18,cross,1686.0
AUS,BLK,2,19,cross,1686.0
AUS,BLK,2,20,cross,1686.0
AUS,BLK,2,21,cross,1686.0
AUS,BLK,2,22,cross,609.6563570300059
AUS,BLK,2,23,cross,1686.0
AUS,BLK,2,24,cross,1686.0
AUS,BLK,3,1,cross,-1746.0
AUS,BLK,3,2,cross,-1746.0
AUS,BLK,3,3,cross,-1746.0
AUS,BLK,3,4,cross,-1746.0
AUS,BLK,3,5,cross,-925.1732125800008
AUS,BLK,3,6,cross,-1746.0
AUS,BLK,3,7,cross,-1746.0
AUS,BLK,3,8,cross,-1746.0
AUS,BLK,3,9,cross,-1746.0
AUS,BLK,3,10,cross,-1746.0
AUS,BLK,3,11,cross,-1746.0
AUS,BLK,3,12,cross,-1746.0
AUS,BLK,3,13,cross,-1746.0
AUS,BLK,3,14,cross,-1746.0
AUS,BLK,3,15,cross,-1746.0
AUS,BLK,3,16,cross,-1746.0
AUS,BLK,3,17,cross,-1746.0
AUS,BLK,3,18,cross,1572.0840608300027
AUS,BLK,3,19,cross,-1746.0
AUS,BLK,3,20,cross,1179.80639617001
AUS,BLK,3,21,cross,-1746.0
AUS,BLK,3,22,cross,1686.0
AUS,BLK,3,23,cross,-1746.0
AUS,BLK,3,24,cross,1686.0
AUS,BLK,4,1,cross,1686.0
AUS,BLK,4,2,cross,1686.0
AUS,BLK,4,3,cross,1686.0
AUS,BLK,4,4,cross,1686.0
AUS,BLK,4,5,cross,-1746.0
AUS,BLK,4,6,cross,-1111.9239823899952
AUS,BLK,4,7,cross,-1746.0
AUS,BLK,4,8,cross,-1746.0
AUS,BLK,4,9,cross,-1746.0
AUS,BLK,4,10,cross,-1746.0
AUS,BLK,4,11,cross,-1746.0
AUS,BLK,4,12,cross,-1746.0
AUS,BLK,4,13,cross,-1746.0
AUS,BLK,4,14,cross,-1746.0
AUS,BLK,4,15,cross,-1746.0
AUS,BLK,4,16,cross,-1746.0
AUS,BLK,4,17,cross,-1746.0
AUS,BLK,4,18,cross,-1746.0
AUS,BLK,4,19,cross,-1746.0
AUS,BLK,4,20,cross,-1746.0
AUS,BLK,4,21,cross,-1363.198710381259
AUS,BLK,4,22,cross,-1746.0
AUS,BLK,4,23,cross,-1746.0
AUS,BLK,4,24,cross,1402.4025422400045
AUS,BLK,5,1,cross,1686.0
AUS,BLK,5,2,cross,1686.0
AUS,BLK,5,3,cross,1686.0
AUS,BLK,5,4,cross,1686.0
AUS,BLK,5,5,cross,1686.0
AUS,BLK,5,6,cross,1686.0
AUS,BLK,5,7,cross,-653.4773686060703
AUS,BLK,5,8,cross,1102.2626672105553
AUS,BLK,5,9,cross,1686.0
AUS,BLK,5,10,cross,1686.0
AUS,BLK,5,11,cross,1686.0
AUS,BLK,5,12,cross,-1746.0
AUS,BLK,5,13,cross,1686.0
AUS,BLK,5,14,cross,-1746.0
AUS,BLK,5,15,cross,-1746.0
AUS,BLK,5,16,cross,1686.0
AUS,BLK,5,17,cross,179.14013057000557
AUS,BLK,5,18,cross,1686.0
AUS,BLK,5,19,cross,1686.0
AUS,BLK,5,20,cross,436.5089044300039
AUS,BLK,5,21,cross,1686.0
AUS,BLK,5,22,cross,1686.0
AUS,BLK,5,23,cross,1686.0
AUS,BLK,5,24,cross,1686.0
AUS,BLK,6,1,cross,1686.0
AUS,BLK,6,2,cross,1686.0
AUS,BLK,6,3,cross,1686.0
AUS,BLK,6,4,cross,1686.0
AUS,BLK,6,5,cross,1686.0
AUS,BLK,6,6,cross,1686.0
AUS,BLK,6,7,cross,1686.0
AUS,BLK,6,8,cross,1686.0
AUS,BLK,6,9,cross,449.4343215800118
AUS,BLK,6,10,cross,1686.0
AUS,BLK,6,11,cross,1644.2231976699986
AUS,BLK,6,12,cross,-90.48077795000063
AUS,BLK,6,13,cross,1686.0
AUS,BLK,6,14,cross,1686.0
AUS,BLK,6,15,cross,-1746.0
AUS,BLK,6,16,cross,-1746.0
AUS,BLK,6,17,cross,1686.0
AUS,BLK,6,18,cross,1686.0
AUS,BLK,6,19,cross,1686.0
AUS,BLK,6,20,cross,1686.0
AUS,BLK,6,21,cross,1686.0
AUS,BLK,6,22,cross,1686.0
AUS,BLK,6,23,cross,1686.0
AUS,BLK,6,24,cross,1686.0
AUS,BLK,7,1,cross,-1746.0
AUS,BLK,7,2,cross,-1746.0
AUS,BLK,7,3,cross,-1746.0
AUS,BLK,7,4,cross,-1746.0
AUS,BLK,7,5,cross,-1746.0
AUS,BLK,7,6,cross,-1746.0
AUS,BLK,7,7,cross,-1746.0
AUS,BLK,7,8,cross,-1746.0
AUS,BLK,7,9,cross,-1746.0
AUS,BLK,7,10,cross,-1746.0
AUS,BLK,7,11,cross,-1746.0
AUS,BLK,7,12,cross,-1746.0
AUS,BLK,7,13,cross,-1746.0
AUS,BLK,7,14,cross,-1746.0
AUS,BLK,7,15,cross,-1746.0
AUS,BLK,7,16,cross,-1746.0
AUS,BLK,7,17,cross,-1746.0
AUS,BLK,7,18,cross,-1746.0
AUS,BLK,7,19,cross,-289.7129607500001
AUS,BLK,7,20,cross,-1746.0
AUS,BLK,7,21,cross,-1746.0
AUS,BLK,7,22,cross,-1746.0
AUS,BLK,7,23,cross,-1746.0
AUS,BLK,7,24,cross,-1746.0
AUS,BLK,8,1,cross,-1746.0
AUS,BLK,8,2,cross,-1746.0
AUS,BLK,8,3,cross,-1746.0
AUS,BLK,8,4,cross,-1746.0
AUS,BLK,8,5,cross,-1746.0
AUS,BLK,8,6,cross,-1746.0
AUS,BLK,8,7,cross,-1746.0
AUS,BLK,8,8,cross,-1746.0
AUS,BLK,8,9,cross,-1746.0
