location,technology,rep_period,time_step,scenario,production
AUS,WindOn,1,1,cross,16674.96701500001
AUS,WindOn,1,2,cross,17154.643780580005
AUS,WindOn,1,3,cross,17106.11633657
AUS,WindOn,1,4,cross,17122.15478176
AUS,WindOn,1,5,cross,17300.22614466
AUS,WindOn,1,6,cross,17755.4624806
AUS,WindOn,1,7,cross,18281.12970561
AUS,WindOn,1,8,cross,18636.22373796
AUS,WindOn,1,9,cross,18806.114924729998
AUS,WindOn,1,10,cross,18842.527595000007
AUS,WindOn,1,11,cross,17612.039865000006
AUS,WindOn,1,12,cross,17870.07566000001
AUS,WindOn,1,13,cross,18130.254995000007
AUS,WindOn,1,14,cross,18364.03810500001
AUS,WindOn,1,15,cross,18600.06377188
AUS,WindOn,1,16,cross,18618.47025848
AUS,WindOn,1,17,cross,18664.23520676
AUS,WindOn,1,18,cross,18646.07140905
AUS,WindOn,1,19,cross,18425.3348789
AUS,WindOn,1,20,cross,18138.86456171
AUS,WindOn,1,21,cross,17846.53071275
AUS,WindOn,1,22,cross,17705.85942856
AUS,WindOn,1,23,cross,17473.38621638
AUS,WindOn,1,24,cross,17283.938046850006
AUS,WindOn,2,1,cross,17240.04506249
AUS,WindOn,2,2,cross,17196.897153910002
AUS,WindOn,2,3,cross,17157.220343640005
AUS,WindOn,2,4,cross,17179.226111570006
AUS,WindOn,2,5,cross,17339.41189905
AUS,WindOn,2,6,cross,17810.89284966
AUS,WindOn,2,7,cross,18383.13068082
AUS,WindOn,2,8,cross,18754.15599024
AUS,WindOn,2,9,cross,18897.690200000012
AUS,WindOn,2,10,cross,18940.368237260005
AUS,WindOn,2,11,cross,18741.021765000005
AUS,WindOn,2,12,cross,18915.2826627
AUS,WindOn,2,13,cross,18825.41093785
AUS,WindOn,2,14,cross,18736.23597997
AUS,WindOn,2,15,cross,18538.208355000006
AUS,WindOn,2,16,cross,17876.002115000007
AUS,WindOn,2,17,cross,17632.534645000007
AUS,WindOn,2,18,cross,17703.72317000001
AUS,WindOn,2,19,cross,17710.325505000008
AUS,WindOn,2,20,cross,17597.876580000007
AUS,WindOn,2,21,cross,17250.394045000005
AUS,WindOn,2,22,cross,16658.655920000005
AUS,WindOn,2,23,cross,15754.502940000008
AUS,WindOn,2,24,cross,15462.575240000007
AUS,WindOn,3,1,cross,9711.774620000004
AUS,WindOn,3,2,cross,9747.439795000004
AUS,WindOn,3,3,cross,9713.937070000005
AUS,WindOn,3,4,cross,9657.918025000004
AUS,WindOn,3,5,cross,9554.275670000005
AUS,WindOn,3,6,cross,9450.635145000004
AUS,WindOn,3,7,cross,9318.559775000005
AUS,WindOn,3,8,cross,8940.137430000002
AUS,WindOn,3,9,cross,8438.584145000003
AUS,WindOn,3,10,cross,7749.754455000003
AUS,WindOn,3,11,cross,6621.529565000003
AUS,WindOn,3,12,cross,6038.417755000002
AUS,WindOn,3,13,cross,5597.299610000002
AUS,WindOn,3,14,cross,5382.0849000000035
AUS,WindOn,3,15,cross,5343.263890000002
AUS,WindOn,3,16,cross,5556.926760000001
AUS,WindOn,3,17,cross,5972.847635000002
AUS,WindOn,3,18,cross,6241.580085000003
AUS,WindOn,3,19,cross,6371.928240000002
AUS,WindOn,3,20,cross,6562.631930000003
AUS,WindOn,3,21,cross,6837.914255000003
AUS,WindOn,3,22,cross,7096.753115000002
AUS,WindOn,3,23,cross,6958.908670000003
AUS,WindOn,3,24,cross,7415.465305000003
AUS,WindOn,4,1,cross,11356.978475000005
AUS,WindOn,4,2,cross,11539.408735000005
AUS,WindOn,4,3,cross,11608.160005000005
AUS,WindOn,4,4,cross,11498.237700000005
AUS,WindOn,4,5,cross,11319.588525000005
AUS,WindOn,4,6,cross,11024.816395000005
AUS,WindOn,4,7,cross,10762.281545000005
AUS,WindOn,4,8,cross,10415.447440000004
AUS,WindOn,4,9,cross,9706.011035000005
AUS,WindOn,4,10,cross,8783.818220000003
AUS,WindOn,4,11,cross,8008.593315000003
AUS,WindOn,4,12,cross,7484.766795000004
AUS,WindOn,4,13,cross,7368.958905000003
AUS,WindOn,4,14,cross,7432.250980000003
AUS,WindOn,4,15,cross,7710.587880000004
AUS,WindOn,4,16,cross,8074.993035000004
AUS,WindOn,4,17,cross,8723.154330000003
AUS,WindOn,4,18,cross,9164.726010000004
AUS,WindOn,4,19,cross,9428.265225000005
AUS,WindOn,4,20,cross,9738.366960000003
AUS,WindOn,4,21,cross,9950.552715000005
AUS,WindOn,4,22,cross,10118.969445000004
AUS,WindOn,4,23,cross,10377.622255000004
AUS,WindOn,4,24,cross,10825.547085000006
AUS,WindOn,5,1,cross,13537.663815000007
AUS,WindOn,5,2,cross,13520.804330000006
AUS,WindOn,5,3,cross,13400.788050000006
AUS,WindOn,5,4,cross,13228.633240000006
