from,to,rep_period,time_step,scenario,flow
AUS,BLK,1,1,1900,-1746.0
AUS,BLK,1,1,1982,-1746.0
AUS,BLK,1,1,1987,1632.0139121597376
AUS,BLK,1,1,1992,1686.0
AUS,BLK,1,1,1995,1686.0
AUS,BLK,1,1,1997,-1746.0
AUS,BLK,1,1,2002,-1746.0
AUS,BLK,1,1,2008,1686.0
AUS,BLK,1,1,2009,-1746.0
AUS,BLK,1,1,2012,1686.0
AUS,BLK,1,2,1900,1686.0
AUS,BLK,1,2,1982,-1746.0
AUS,BLK,1,2,1987,1077.6300445479283
AUS,BLK,1,2,1992,1686.0
AUS,BLK,1,2,1995,1686.0
AUS,BLK,1,2,1997,-1746.0
AUS,BLK,1,2,2002,-1746.0
AUS,BLK,1,2,2008,1686.0
AUS,BLK,1,2,2009,-1746.0
AUS,BLK,1,2,2012,1686.0
AUS,BLK,1,3,1900,1686.0
AUS,BLK,1,3,1982,-1746.0
AUS,BLK,1,3,1987,-1746.0
AUS,BLK,1,3,1992,1686.0
AUS,BLK,1,3,1995,1686.0
AUS,BLK,1,3,1997,-1746.0
AUS,BLK,1,3,2002,-1746.0
AUS,BLK,1,3,2008,1686.0
AUS,BLK,1,3,2009,-1746.0
AUS,BLK,1,3,2012,1686.0
AUS,BLK,1,4,1900,1686.0
AUS,BLK,1,4,1982,-1746.0
AUS,BLK,1,4,1987,-1746.0
AUS,BLK,1,4,1992,1686.0
AUS,BLK,1,4,1995,1686.0
AUS,BLK,1,4,1997,-1746.0
AUS,BLK,1,4,2002,-1746.0
AUS,BLK,1,4,2008,1686.0
AUS,BLK,1,4,2009,-1746.0
AUS,BLK,1,4,2012,1686.0
AUS,BLK,1,5,1900,-331.115061660681
AUS,BLK,1,5,1982,-1746.0
AUS,BLK,1,5,1987,-1746.0
AUS,BLK,1,5,1992,1686.0
AUS,BLK,1,5,1995,1686.0
AUS,BLK,1,5,1997,-1746.0
AUS,BLK,1,5,2002,-1746.0
AUS,BLK,1,5,2008,1686.0
AUS,BLK,1,5,2009,-1746.0
AUS,BLK,1,5,2012,1123.0572364871114
AUS,BLK,1,6,1900,1686.0
AUS,BLK,1,6,1982,-1746.0
AUS,BLK,1,6,1987,-1746.0
AUS,BLK,1,6,1992,1686.0
AUS,BLK,1,6,1995,1686.0
AUS,BLK,1,6,1997,-1746.0
AUS,BLK,1,6,2002,-1746.0
AUS,BLK,1,6,2008,1686.0
AUS,BLK,1,6,2009,-1746.0
AUS,BLK,1,6,2012,799.076920879841
AUS,BLK,1,7,1900,-56.01156690276366
AUS,BLK,1,7,1982,-1746.0
AUS,BLK,1,7,1987,-1746.0
AUS,BLK,1,7,1992,-1038.1347204826106
AUS,BLK,1,7,1995,1607.9276917052066
AUS,BLK,1,7,1997,-1746.0
AUS,BLK,1,7,2002,-1746.0
AUS,BLK,1,7,2008,1686.0
AUS,BLK,1,7,2009,-1746.0
AUS,BLK,1,7,2012,547.5104423334815
AUS,BLK,1,8,1900,1686.0
AUS,BLK,1,8,1982,-1746.0
AUS,BLK,1,8,1987,-1746.0
AUS,BLK,1,8,1992,1686.0
AUS,BLK,1,8,1995,-1746.0
AUS,BLK,1,8,1997,-1746.0
AUS,BLK,1,8,2002,-1746.0
AUS,BLK,1,8,2008,-1746.0
AUS,BLK,1,8,2009,-1746.0
AUS,BLK,1,8,2012,1686.0
AUS,BLK,1,9,1900,-1746.0
AUS,BLK,1,9,1982,-1746.0
AUS,BLK,1,9,1987,-1746.0
AUS,BLK,1,9,1992,-1746.0
AUS,BLK,1,9,1995,-899.5037033846875
AUS,BLK,1,9,1997,-1746.0
AUS,BLK,1,9,2002,-1746.0
AUS,BLK,1,9,2008,-1057.6423723440284
AUS,BLK,1,9,2009,-1746.0
AUS,BLK,1,9,2012,860.3369297427416
AUS,BLK,1,10,1900,262.24554697122085
AUS,BLK,1,10,1982,-1746.0
AUS,BLK,1,10,1987,-1746.0
AUS,BLK,1,10,1992,1686.0
AUS,BLK,1,10,1995,1686.0
AUS,BLK,1,10,1997,-1746.0
AUS,BLK,1,10,2002,-1746.0
AUS,BLK,1,10,2008,-1541.7822970543211
AUS,BLK,1,10,2009,-1746.0
AUS,BLK,1,10,2012,771.2045475655486
AUS,BLK,1,11,1900,-1463.8844773482633
AUS,BLK,1,11,1982,-1746.0
AUS,BLK,1,11,1987,-1746.0
AUS,BLK,1,11,1992,28.170909450283943
AUS,BLK,1,11,1995,1686.0
AUS,BLK,1,11,1997,-1746.0
AUS,BLK,1,11,2002,-1746.0
AUS,BLK,1,11,2008,-1746.0
AUS,BLK,1,11,2009,-1746.0
AUS,BLK,1,11,2012,1283.0621205061034
AUS,BLK,1,12,1900,-493.1637859172356
AUS,BLK,1,12,1982,-1746.0
AUS,BLK,1,12,1987,-1746.0
AUS,BLK,1,12,1992,1140.0909939221638
AUS,BLK,1,12,1995,-1746.0
AUS,BLK,1,12,1997,-1746.0
AUS,BLK,1,12,2002,-1746.0
AUS,BLK,1,12,2008,-1174.2796534827912
AUS,BLK,1,12,2009,-1746.0
AUS,BLK,1,12,2012,-408.5321871463293
AUS,BLK,1,13,1900,1686.0
AUS,BLK,1,13,1982,-1746.0
AUS,BLK,1,13,1987,-1746.0
AUS,BLK,1,13,1992,-1746.0
AUS,BLK,1,13,1995,-1746.0
AUS,BLK,1,13,1997,-1746.0
AUS,BLK,1,13,2002,-1746.0
AUS,BLK,1,13,2008,-1746.0
AUS,BLK,1,13,2009,-1746.0
AUS,BLK,1,13,2012,835.615012848295
AUS,BLK,1,14,1900,-1746.0
AUS,BLK,1,14,1982,-1746.0
AUS,BLK,1,14,1987,-1746.0
AUS,BLK,1,14,1992,-1746.0
AUS,BLK,1,14,1995,-1639.0792983717402
AUS,BLK,1,14,1997,-1746.0
AUS,BLK,1,14,2002,-1746.0
AUS,BLK,1,14,2008,1686.0
AUS,BLK,1,14,2009,-1746.0
AUS,BLK,1,14,2012,1009.2580528724811
AUS,BLK,1,15,1900,1686.0
AUS,BLK,1,15,1982,-1746.0
AUS,BLK,1,15,1987,-1746.0
AUS,BLK,1,15,1992,-55.519542255420674
AUS,BLK,1,15,1995,-1502.345593297854
AUS,BLK,1,15,1997,-1746.0
AUS,BLK,1,15,2002,-1746.0
AUS,BLK,1,15,2008,-1402.429679906917
AUS,BLK,1,15,2009,-1746.0
AUS,BLK,1,15,2012,1005.2126976878535
AUS,BLK,1,16,1900,-1746.0
AUS,BLK,1,16,1982,-1746.0
AUS,BLK,1,16,1987,-1746.0
AUS,BLK,1,16,1992,-795.1194678868369
AUS,BLK,1,16,1995,1686.0
AUS,BLK,1,16,1997,-1746.0
AUS,BLK,1,16,2002,-1746.0
AUS,BLK,1,16,2008,-1677.2484500370201
AUS,BLK,1,16,2009,-1746.0
AUS,BLK,1,16,2012,902.4197459958796
AUS,BLK,1,17,1900,184.11917750140947
AUS,BLK,1,17,1982,-1746.0
AUS,BLK,1,17,1987,-1746.0
AUS,BLK,1,17,1992,1686.0
AUS,BLK,1,17,1995,91.38181509793321
AUS,BLK,1,17,1997,-1746.0
AUS,BLK,1,17,2002,1686.0
AUS,BLK,1,17,2008,1686.0
AUS,BLK,1,17,2009,-1746.0
AUS,BLK,1,17,2012,692.1300242052093
AUS,BLK,1,18,1900,1114.948366534678
AUS,BLK,1,18,1982,-1746.0
AUS,BLK,1,18,1987,-1746.0
AUS,BLK,1,18,1992,1686.0
AUS,BLK,1,18,1995,1338.254388829716
AUS,BLK,1,18,1997,-1746.0
AUS,BLK,1,18,2002,1686.0
AUS,BLK,1,18,2008,1686.0
AUS,BLK,1,18,2009,-1746.0
AUS,BLK,1,18,2012,923.1683006864014
AUS,BLK,1,19,1900,1686.0
AUS,BLK,1,19,1982,-1746.0
AUS,BLK,1,19,1987,-1746.0
AUS,BLK,1,19,1992,-54.32093972735311
AUS,BLK,1,19,1995,1686.0
AUS,BLK,1,19,1997,-1746.0
AUS,BLK,1,19,2002,1686.0
AUS,BLK,1,19,2008,1686.0
AUS,BLK,1,19,2009,-1746.0
AUS,BLK,1,19,2012,369.78975883105704
AUS,BLK,1,20,1900,-1746.0
AUS,BLK,1,20,1982,-1746.0
AUS,BLK,1,20,1987,-1746.0
AUS,BLK,1,20,1992,488.7828040393051
AUS,BLK,1,20,1995,1686.0
AUS,BLK,1,20,1997,-1746.0
AUS,BLK,1,20,2002,-1746.0
AUS,BLK,1,20,2008,193.55535302606222
AUS,BLK,1,20,2009,-1746.0
AUS,BLK,1,20,2012,532.0407516169762
AUS,BLK,1,21,1900,1686.0
AUS,BLK,1,21,1982,-1746.0
AUS,BLK,1,21,1987,-1746.0
AUS,BLK,1,21,1992,1686.0
AUS,BLK,1,21,1995,1686.0
AUS,BLK,1,21,1997,-1746.0
AUS,BLK,1,21,2002,-1746.0
AUS,BLK,1,21,2008,1686.0
AUS,BLK,1,21,2009,-1746.0
AUS,BLK,1,21,2012,1177.191396404969
AUS,BLK,1,22,1900,1686.0
AUS,BLK,1,22,1982,-1746.0
AUS,BLK,1,22,1987,-1746.0
AUS,BLK,1,22,1992,1686.0
AUS,BLK,1,22,1995,-1746.0
AUS,BLK,1,22,1997,-1746.0
AUS,BLK,1,22,2002,-1746.0
AUS,BLK,1,22,2008,1686.0
AUS,BLK,1,22,2009,-1746.0
AUS,BLK,1,22,2012,1031.3535133776804
AUS,BLK,1,23,1900,1686.0
AUS,BLK,1,23,1982,-1746.0
AUS,BLK,1,23,1987,-1746.0
AUS,BLK,1,23,1992,1686.0
AUS,BLK,1,23,1995,-1746.0
AUS,BLK,1,23,1997,-1746.0
AUS,BLK,1,23,2002,-1746.0
AUS,BLK,1,23,2008,1686.0
AUS,BLK,1,23,2009,-1746.0
AUS,BLK,1,23,2012,1686.0
AUS,BLK,1,24,1900,-1746.0
AUS,BLK,1,24,1982,-1746.0
AUS,BLK,1,24,1987,-1746.0
AUS,BLK,1,24,1992,1686.0
AUS,BLK,1,24,1995,-592.5519659757447
AUS,BLK,1,24,1997,-1746.0
AUS,BLK,1,24,2002,-1746.0
AUS,BLK,1,24,2008,1686.0
AUS,BLK,1,24,2009,-1746.0
AUS,BLK,1,24,2012,495.52032895996854
AUS,BLK,2,1,1900,1686.0
AUS,BLK,2,1,1982,-1746.0
AUS,BLK,2,1,1987,1686.0
AUS,BLK,2,1,1992,1686.0
AUS,BLK,2,1,1995,1686.0
AUS,BLK,2,1,1997,-1746.0
AUS,BLK,2,1,2002,-1746.0
AUS,BLK,2,1,2008,1686.0
AUS,BLK,2,1,2009,-1746.0
AUS,BLK,2,1,2012,1686.0
AUS,BLK,2,2,1900,1686.0
AUS,BLK,2,2,1982,-1746.0
AUS,BLK,2,2,1987,1686.0
AUS,BLK,2,2,1992,1686.0
AUS,BLK,2,2,1995,1686.0
AUS,BLK,2,2,1997,-1746.0
AUS,BLK,2,2,2002,-1746.0
AUS,BLK,2,2,2008,1686.0
AUS,BLK,2,2,2009,-1746.0
AUS,BLK,2,2,2012,1686.0
AUS,BLK,2,3,1900,1686.0
AUS,BLK,2,3,1982,-1746.0
AUS,BLK,2,3,1987,1686.0
AUS,BLK,2,3,1992,1686.0
AUS,BLK,2,3,1995,1686.0
AUS,BLK,2,3,1997,-1746.0
