location,rep_period,time_step,scenario,loss_of_load
SWE,4,11,1900,33.47387082787009
NOR,7,1,1982,6498.092586629558
NOR,7,2,1982,5215.111643460243
NOR,7,3,1982,3982.883791452021
NOR,8,3,1982,1451.7116156442066
NOR,7,4,1982,3149.8001138805685
NOR,7,5,1982,1407.1452774478275
POL,4,11,1982,182.24875252549566
NOR,7,14,1982,2738.292694200697
NOR,7,15,1982,4116.165431935413
NOR,7,16,1982,860.3232009668218
NED,4,18,1982,759.1388745915337
NED,4,19,1982,2107.368575400629
NED,4,20,1982,2429.4633095319823
NED,4,21,1982,1568.5727511551722
NED,4,22,1982,442.6270203829299
NOR,4,22,1982,1042.9115396310644
NOR,4,23,1982,1257.8959137645697
NOR,4,24,1982,4393.476304408809
NOR,7,24,1982,3479.392131153272
NED,6,1,1987,3374.033723449043
NED,6,2,1987,3327.6093368143893
NED,6,3,1987,3164.7002425442724
NED,6,4,1987,3041.287940547204
NED,6,5,1987,2821.3235315925103
NED,6,6,1987,1799.277702488744
NED,6,7,1987,1474.1768549457656
NOR,9,7,1987,768.7508701650781
NED,6,8,1987,1202.6973418962061
NOR,9,8,1987,4122.897434313064
NED,6,9,1987,1139.3269931814996
NOR,9,9,1987,7042.986961606097
NOR,9,10,1987,9443.945562277288
NOR,9,11,1987,7310.628861536847
NOR,9,12,1987,6910.599632377006
NOR,9,13,1987,6122.296495179276
NOR,9,14,1987,3941.790548772592
NOR,9,15,1987,208.27282570316675
NED,3,17,1987,397.4341663165442
NED,6,17,1987,1636.0293199493472
NED,6,18,1987,2489.3725647564265
NED,6,19,1987,2819.985483509727
NED,6,20,1987,3148.7417855398985
NED,6,21,1987,2929.197749026923
NED,6,22,1987,2856.910544679914
NED,6,23,1987,3617.1794288174997
NED,6,24,1987,3434.8950564791426
NED,3,1,1992,2114.0804922423195
NED,7,1,1992,6621.160615529866
NED,10,1,1992,540.31721956004
NED,3,2,1992,2551.4138697272497
NED,7,2,1992,6163.766373571144
NED,10,2,1992,99.53228477474204
NED,3,3,1992,2418.6451780397842
NED,7,3,1992,5799.677561346058
NED,10,3,1992,178.82102591494913
NED,3,4,1992,1891.5476576508918
NED,7,4,1992,5806.8229687021985
NED,10,4,1992,246.58088430460066
NED,3,5,1992,1128.5311334426342
NED,7,5,1992,5814.30508826111
NED,10,5,1992,74.99635499143915
NED,7,6,1992,4500.360944574485
NOR,4,7,1992,717.9493377048166
NED,7,7,1992,4386.414071123772
NOR,4,8,1992,1025.09844888513
NED,7,8,1992,3837.6248891067535
NED,3,9,1992,338.3829764000002
NED,7,9,1992,3154.4587882815595
NED,3,10,1992,712.2512310824104
NED,3,11,1992,638.7585086470694
NED,3,12,1992,1278.3219260981466
NED,3,13,1992,2307.9436327659005
NED,3,14,1992,508.4649048270146
NED,3,17,1992,48.44603252518573
NED,10,18,1992,1099.822923126097
NED,10,19,1992,1025.3273724652136
NED,10,20,1992,1502.3986337996498
NED,10,21,1992,1132.909508868593
NED,3,22,1992,1518.7286647135988
NED,10,22,1992,1453.9681980655228
NED,3,23,1992,4044.5527850588805
NED,10,23,1992,1104.154959237559
NED,3,24,1992,5375.514066353595
NED,4,24,1992,466.3512527873813
NED,10,24,1992,1534.418535618452
NOR,3,19,1995,1673.6570364508952
NOR,3,20,1995,1864.841442427547
NED,3,1,1997,3473.8638770515977
NOR,9,1,1997,201.1498030282255
NED,3,2,1997,4839.487770684233
NED,3,3,1997,5110.021994246221
NED,3,4,1997,5171.9988399024
NED,3,5,1997,5069.888205736016
NED,3,6,1997,3734.207343048927
NED,3,7,1997,3432.302702135556
NED,3,8,1997,3371.804876726885
NED,3,9,1997,4162.616632459267
NED,7,9,1997,1219.6918554434033
NED,3,10,1997,3800.171570834287
NOR,5,10,1997,1407.2286141497116
NED,7,10,1997,2386.0506752180513
NED,3,11,1997,2570.1684598460406
NED,7,11,1997,1015.9624451550676
NOR,2,12,1997,319.8993765173673
NED,3,12,1997,2302.6779308714276
NED,7,12,1997,920.7023954494199
NOR,2,13,1997,1846.7428386242673
NED,3,13,1997,3075.0628413351087
NED,7,13,1997,2231.8561722301074
NOR,2,14,1997,3088.719047908049
NED,3,14,1997,1761.5463971864638
NED,7,14,1997,1717.444833103421
NOR,2,15,1997,4599.38782978546
NED,3,15,1997,1383.6383991693533
NED,7,15,1997,1723.0028717786072
NOR,2,16,1997,5945.592738375072
NED,3,16,1997,2447.391911440665
NED,7,16,1997,2545.0904757305907
NOR,2,17,1997,7519.268544207877
NED,3,17,1997,4319.772544284878
NED,7,17,1997,4094.198624465572
NOR,2,18,1997,8580.647469133057
NED,3,18,1997,6081.2574644089655
NED,7,18,1997,4496.008630213983
NOR,2,19,1997,8825.189974519648
NED,3,19,1997,7212.387998845139
NED,7,19,1997,4057.1193989345206
NOR,2,20,1997,9368.202051639899
NED,3,20,1997,7565.465085897111
NOR,4,20,1997,1722.2277593682993
NED,7,20,1997,3141.6647968351895
NOR,2,21,1997,9429.504853471717
NED,3,21,1997,5398.7082385440335
NOR,4,21,1997,2296.426973657506
NED,7,21,1997,1304.3622845898801
NOR,2,22,1997,6772.507109356952
NED,3,22,1997,3195.8298940367504
NOR,4,22,1997,1272.8837801661339
NOR,2,23,1997,1993.3242531771175
NED,3,23,1997,613.1660854778229
NED,3,24,1997,599.9622319988875
BEL,2,18,2002,2277.2616124424485
DEN,2,18,2002,59.984145155851365
ITA,2,18,2002,40.833604626559236
SKO,2,18,2002,107.55436826118239
BEL,2,19,2002,306.5929630004921
DEN,2,19,2002,5.498192401077176
NED,2,1,2009,1292.5683751975612
NED,2,2,2009,965.9704445917532
NED,2,3,2009,886.7170233970928
NED,2,4,2009,596.6943774266038
NED,2,5,2009,491.228244087019
NED,9,20,2009,1111.5490821039448
NED,9,21,2009,1771.6678799472393
NED,9,22,2009,2162.444610537883
NED,9,23,2009,2239.1523481427266
NED,9,24,2009,1751.0988202387327
