location,technology,capacity,units
AUS,Gas,8000.0,32
AUS,SunPV,16150.0,323
AUS,WindOn,11900.0,119
BEL,Gas,5250.0,21
BEL,WindOn,12700.0,127
BLK,Nuclear,31000.0,31
BLK,Oil,100.0,1
BLK,WindOn,3900.0,39
BLT,Gas,750.0,3
BLT,WindOn,7300.0,73
CZE,Nuclear,9000.0,9
DEN,Gas,11750.0,47
DEN,WindOn,3800.0,38
FIN,Nuclear,4000.0,4
FIN,WindOn,13400.0,134
FRA,Nuclear,59000.0,59
GER,Gas,41750.0,167
GER,WindOff,28600.0,286
GER,WindOn,41000.0,410
IRE,Gas,2250.0,9
IRE,WindOn,7700.0,77
ITA,Gas,18750.0,75
ITA,SunPV,25250.0,505
ITA,WindOff,3500.0,35
ITA,WindOn,36000.0,360
NED,SunPV,41050.0,821
NED,WindOff,23900.0,239
NED,WindOn,105300.0,1053
NOR,WindOff,47000.0,470
NOR,WindOn,253900.0,2539
POL,Gas,10500.0,42
POL,WindOn,31000.0,310
POR,Gas,1500.0,6
POR,SunPV,600.0,12
POR,WindOn,2500.0,25
SKO,Nuclear,3000.0,3
SPA,Nuclear,28000.0,28
SWE,Nuclear,11000.0,11
SWE,WindOn,4800.0,48
SWI,Nuclear,16000.0,16
UKI,Nuclear,45000.0,45
