from,to,rep_period,time_step,scenario,flow
AUS,BLK,1,1,2002,-1746.0
AUS,BLK,1,2,2002,-1746.0
AUS,BLK,1,3,2002,-1746.0
AUS,BLK,1,4,2002,1686.0
AUS,BLK,1,5,2002,1686.0
AUS,BLK,1,6,2002,1686.0
AUS,BLK,1,7,2002,-1746.0
AUS,BLK,1,8,2002,-1746.0
AUS,BLK,1,9,2002,-1746.0
AUS,BLK,1,10,2002,-1746.0
AUS,BLK,1,11,2002,-1746.0
AUS,BLK,1,12,2002,-1746.0
AUS,BLK,1,13,2002,-1746.0
AUS,BLK,1,14,2002,-350.65557928394696
AUS,BLK,1,15,2002,-1746.0
AUS,BLK,1,16,2002,-1746.0
AUS,BLK,1,17,2002,-1746.0
AUS,BLK,1,18,2002,-1746.0
AUS,BLK,1,19,2002,305.8498341345721
AUS,BLK,1,20,2002,-1746.0
AUS,BLK,1,21,2002,-1746.0
AUS,BLK,1,22,2002,1686.0
AUS,BLK,1,23,2002,1686.0
AUS,BLK,1,24,2002,1686.0
AUS,BLK,1,25,2002,1686.0
AUS,BLK,1,26,2002,1686.0
AUS,BLK,1,27,2002,1276.9514922122703
AUS,BLK,1,28,2002,1686.0
AUS,BLK,1,29,2002,1686.0
AUS,BLK,1,30,2002,1512.486448764735
AUS,BLK,1,31,2002,40.46810768438809
AUS,BLK,1,32,2002,-1746.0
AUS,BLK,1,33,2002,170.32134986285428
AUS,BLK,1,34,2002,-1746.0
AUS,BLK,1,35,2002,-1746.0
AUS,BLK,1,36,2002,-1746.0
AUS,BLK,1,37,2002,-1746.0
AUS,BLK,1,38,2002,-1746.0
AUS,BLK,1,39,2002,-1746.0
AUS,BLK,1,40,2002,-1676.9196997983818
AUS,BLK,1,41,2002,170.37519223451818
AUS,BLK,1,42,2002,-1746.0
AUS,BLK,1,43,2002,-634.7771615387683
AUS,BLK,1,44,2002,-1746.0
AUS,BLK,1,45,2002,-1746.0
AUS,BLK,1,46,2002,-1746.0
AUS,BLK,1,47,2002,-1746.0
AUS,BLK,1,48,2002,-1746.0
AUS,BLK,1,49,2002,-947.4874757218381
AUS,BLK,1,50,2002,-1746.0
AUS,BLK,1,51,2002,-1746.0
AUS,BLK,1,52,2002,-1746.0
AUS,BLK,1,53,2002,-1746.0
AUS,BLK,1,54,2002,-1746.0
AUS,BLK,1,55,2002,-1746.0
AUS,BLK,1,56,2002,-1746.0
AUS,BLK,1,57,2002,-1746.0
AUS,BLK,1,58,2002,-1746.0
AUS,BLK,1,59,2002,-1746.0
AUS,BLK,1,60,2002,-1746.0
AUS,BLK,1,61,2002,-1746.0
AUS,BLK,1,62,2002,-1746.0
AUS,BLK,1,63,2002,-1746.0
AUS,BLK,1,64,2002,-1746.0
AUS,BLK,1,65,2002,-579.3096094112843
AUS,BLK,1,66,2002,-1542.7194704779467
AUS,BLK,1,67,2002,1686.0
AUS,BLK,1,68,2002,-364.8758445494095
AUS,BLK,1,69,2002,-1746.0
AUS,BLK,1,70,2002,-1746.0
AUS,BLK,1,71,2002,-1746.0
AUS,BLK,1,72,2002,-1746.0
AUS,BLK,1,73,2002,-1746.0
AUS,BLK,1,74,2002,-1746.0
AUS,BLK,1,75,2002,-1746.0
AUS,BLK,1,76,2002,-1746.0
AUS,BLK,1,77,2002,-1746.0
AUS,BLK,1,78,2002,-1746.0
AUS,BLK,1,79,2002,-1746.0
AUS,BLK,1,80,2002,-1746.0
AUS,BLK,1,81,2002,743.48144254613
AUS,BLK,1,82,2002,-1660.1233729678715
AUS,BLK,1,83,2002,-1746.0
AUS,BLK,1,84,2002,-1746.0
AUS,BLK,1,85,2002,-1746.0
AUS,BLK,1,86,2002,-1746.0
AUS,BLK,1,87,2002,-746.2035931873089
AUS,BLK,1,88,2002,1062.1477997496113
AUS,BLK,1,89,2002,1686.0
AUS,BLK,1,90,2002,1686.0
AUS,BLK,1,91,2002,1686.0
AUS,BLK,1,92,2002,1686.0
AUS,BLK,1,93,2002,-1746.0
AUS,BLK,1,94,2002,-1746.0
AUS,BLK,1,95,2002,-1746.0
AUS,BLK,1,96,2002,-1746.0
AUS,BLK,1,97,2002,-1746.0
AUS,BLK,1,98,2002,-1746.0
AUS,BLK,1,99,2002,-1746.0
AUS,BLK,1,100,2002,-1746.0
AUS,BLK,1,101,2002,-1746.0
AUS,BLK,1,102,2002,-1746.0
AUS,BLK,1,103,2002,-1746.0
AUS,BLK,1,104,2002,-1746.0
AUS,BLK,1,105,2002,-1746.0
AUS,BLK,1,106,2002,-1746.0
AUS,BLK,1,107,2002,-1746.0
AUS,BLK,1,108,2002,677.0387331628372
AUS,BLK,1,109,2002,-1746.0
AUS,BLK,1,110,2002,-1746.0
AUS,BLK,1,111,2002,-1746.0
AUS,BLK,1,112,2002,-1746.0
AUS,BLK,1,113,2002,-1656.0098156610256
AUS,BLK,1,114,2002,1131.006196492871
AUS,BLK,1,115,2002,-1746.0
AUS,BLK,1,116,2002,-1454.579989115533
AUS,BLK,1,117,2002,-1746.0
AUS,BLK,1,118,2002,-1746.0
AUS,BLK,1,119,2002,1686.0
AUS,BLK,1,120,2002,1686.0
AUS,BLK,1,121,2002,-1746.0
AUS,BLK,1,122,2002,1686.0
AUS,BLK,1,123,2002,-1746.0
AUS,BLK,1,124,2002,1686.0
AUS,BLK,1,125,2002,-1746.0
AUS,BLK,1,126,2002,-1746.0
AUS,BLK,1,127,2002,-1746.0
AUS,BLK,1,128,2002,-1746.0
AUS,BLK,1,129,2002,-1746.0
AUS,BLK,1,130,2002,-1746.0
AUS,BLK,1,131,2002,-1746.0
AUS,BLK,1,132,2002,-1746.0
AUS,BLK,1,133,2002,-1746.0
AUS,BLK,1,134,2002,-1746.0
AUS,BLK,1,135,2002,-1746.0
AUS,BLK,1,136,2002,-1746.0
AUS,BLK,1,137,2002,-1746.0
AUS,BLK,1,138,2002,-1746.0
AUS,BLK,1,139,2002,-1746.0
AUS,BLK,1,140,2002,-1746.0
AUS,BLK,1,141,2002,-1746.0
AUS,BLK,1,142,2002,-1746.0
AUS,BLK,1,143,2002,-1746.0
AUS,BLK,1,144,2002,-1746.0
AUS,BLK,1,145,2002,-1746.0
AUS,BLK,1,146,2002,-1746.0
AUS,BLK,1,147,2002,-1746.0
AUS,BLK,1,148,2002,-1746.0
AUS,BLK,1,149,2002,-1746.0
AUS,BLK,1,150,2002,-1746.0
AUS,BLK,1,151,2002,-1746.0
AUS,BLK,1,152,2002,-1746.0
AUS,BLK,1,153,2002,-1746.0
AUS,BLK,1,154,2002,-1746.0
AUS,BLK,1,155,2002,-1746.0
AUS,BLK,1,156,2002,-1746.0
AUS,BLK,1,157,2002,-1746.0
AUS,BLK,1,158,2002,-1746.0
AUS,BLK,1,159,2002,-1746.0
AUS,BLK,1,160,2002,-1746.0
AUS,BLK,1,161,2002,-1746.0
AUS,BLK,1,162,2002,-1746.0
