location,technology,capacity,units
AUS,WindOn,19300.0,193
BEL,Gas,8750.0,35
BEL,WindOn,1400.0,14
BLK,Nuclear,33000.0,33
BLT,Gas,3250.0,13
BLT,WindOff,300.0,3
BLT,WindOn,3900.0,39
CZE,Nuclear,8000.0,8
DEN,Gas,5500.0,22
DEN,Oil,100.0,1
DEN,WindOn,10400.0,104
FIN,Gas,500.0,2
FIN,Nuclear,5000.0,5
FIN,WindOn,11500.0,115
FRA,Nuclear,64000.0,64
GER,Gas,58250.0,233
GER,WindOff,20300.0,203
GER,WindOn,45200.0,452
IRE,Gas,2000.0,8
IRE,WindOn,7400.0,74
ITA,Gas,19500.0,78
ITA,SunPV,31300.0,626
ITA,WindOn,39100.0,391
NED,SunPV,42700.0,854
NED,WindOff,34900.0,349
NED,WindOn,118000.0,1180
NOR,SunPV,33750.0,675
NOR,WindOff,38600.0,386
NOR,WindOn,228200.0,2282
POL,Gas,11000.0,44
POL,WindOn,29300.0,293
POR,Gas,2500.0,10
POR,SunPV,1000.0,20
POR,WindOn,1800.0,18
SKO,Nuclear,3000.0,3
SPA,Nuclear,30000.0,30
SWE,Gas,1750.0,7
SWE,Nuclear,11000.0,11
SWE,WindOn,3400.0,34
SWI,Nuclear,16000.0,16
UKI,Gas,250.0,1
UKI,Nuclear,44000.0,44
