location,rep_period,time_step,scenario,loss_of_load
BLK,1,162,1900,224.24731203359988
ITA,1,162,1900,952.8234764053996
BLK,1,163,1900,586.2088333013016
POR,1,165,1900,34.41526790692251
NED,1,440,1900,672.9343537291998
NED,1,441,1900,989.2838536687991
NED,1,444,1900,3.910665390599206
NED,1,445,1900,2167.1323132263988
NED,1,446,1900,3607.4941702570013
NED,1,447,1900,5675.265303493599
NED,1,448,1900,6924.2261268523
NED,1,449,1900,7944.508602520301
NED,1,450,1900,9859.4539722459
SPA,1,450,1900,352.2770835258807
UKI,1,450,1900,431.1859286448607
DEN,1,451,1900,2737.744332410967
NED,1,451,1900,10479.953966653999
SPA,1,451,1900,3847.597416287681
NED,1,452,1900,8907.374579699599
NED,1,453,1900,5895.8756010694015
NED,1,454,1900,4035.9786830727003
NED,1,455,1900,1718.8786707706008
NED,1,456,1900,79.00443316320025
BEL,1,475,1900,61.425203143000545
SPA,1,475,1900,2608.9294677775133
FIN,1,536,1900,48.5880864637993
NOR,1,141,1982,506.3969355658355
NOR,1,147,1982,1052.7329659297588
NED,1,149,1982,34.422504103482424
NED,1,150,1982,1462.9997345203856
NED,1,151,1982,2506.9674880750495
NED,1,152,1982,3195.4876394564208
NED,1,153,1982,2508.2010637227454
NOR,1,186,1982,2806.569816265199
NOR,1,187,1982,5360.451753805356
NOR,1,188,1982,7289.6136377285075
NOR,1,189,1982,7718.847922886813
NOR,1,190,1982,7674.8787567580575
NOR,1,191,1982,2311.6873733478396
NOR,1,192,1982,2943.7856047380096
NOR,1,193,1982,926.1165582075114
NOR,1,194,1982,403.1473272141664
NED,1,281,1982,4982.596518794024
NED,1,282,1982,5310.380728818496
NOR,1,282,1982,773.4237494797335
NED,1,283,1982,5929.338519682666
NOR,1,283,1982,1054.0164066540538
NED,1,284,1982,6712.13651472047
NOR,1,284,1982,1042.0968442181938
NED,1,285,1982,4856.03850405368
NED,1,286,1982,4443.02379219784
NED,1,287,1982,5337.814833713902
NED,1,288,1982,4848.319547641329
NED,1,289,1982,1004.9522404420153
NED,1,290,1982,458.63602014367945
NOR,1,344,1982,1371.4132845859513
NOR,1,345,1982,5767.581088012713
NOR,1,346,1982,5387.783054139433
NOR,1,347,1982,43.60016762857549
NOR,1,532,1982,1598.7321830335932
NED,1,533,1982,1172.567904105987
NOR,1,533,1982,4870.561807906135
NED,1,534,1982,1786.9870659469689
NOR,1,534,1982,8046.863569097777
NED,1,535,1982,2745.5102042149465
NOR,1,535,1982,10429.773755098297
NED,1,536,1982,3017.838268642865
NOR,1,536,1982,9043.37286095471
NED,1,537,1982,3844.680312860841
NOR,1,537,1982,6109.960185080014
NED,1,538,1982,2586.260247523465
NED,1,539,1982,489.39573215567543
NED,1,541,1982,2080.610236287417
NED,1,542,1982,3682.837736972987
NED,1,543,1982,4739.096123651632
NED,1,544,1982,6655.088018606515
NED,1,545,1982,8338.077585184146
NED,1,546,1982,9220.073520457436
NED,1,547,1982,10015.22815422047
NED,1,548,1982,10146.695970216693
NED,1,549,1982,8206.456584795616
NED,1,550,1982,6187.440354836474
NED,1,551,1982,2060.613899557653
NED,1,552,1982,349.6454101870004
NOR,1,552,1982,707.2856094811841
NOR,1,553,1982,4397.027381420969
NOR,1,554,1982,3594.7535385732563
NOR,1,555,1982,1022.1866033910537
NOR,1,567,1982,208.5957444526839
NOR,1,568,1982,11580.915518751708
NOR,1,569,1982,9622.36702078827
NOR,1,570,1982,6771.8792291150685
NOR,1,571,1982,6759.624757841393
NOR,1,572,1982,3585.9140307304433
NOR,1,573,1982,1476.3225071195457
NOR,1,574,1982,895.9090823124739
NOR,1,602,1982,683.7136782390608
NOR,1,650,1982,2200.717670128337
NOR,1,651,1982,8415.18047502252
