location,rep_period,time_step,scenario,loss_of_load
BLK,1,162,1900,224.24731203359988
ITA,1,162,1900,931.223476405401
BLK,1,163,1900,564.6088333013031
POR,1,165,1900,20.999648512100066
NED,1,440,1900,672.6343537292005
NED,1,441,1900,988.7838536687277
NED,1,444,1900,4.210665390313807
NED,1,445,1900,2164.132313226154
NED,1,446,1900,3604.494170256804
NED,1,447,1900,5672.265303493477
NED,1,448,1900,6924.526126852268
NED,1,449,1900,7944.808602520301
NED,1,450,1900,9856.4539722459
BEL,1,451,1900,823.7079223580804
DEN,1,451,1900,2173.644332410967
NED,1,451,1900,10476.953966653999
SPA,1,451,1900,2041.610193349633
NED,1,452,1900,8904.374579699599
NED,1,453,1900,5892.475601069401
NED,1,454,1900,4028.5786830727
NED,1,455,1900,1707.0786707706006
NED,1,456,1900,63.90443316319988
BLT,1,475,1900,30.02924524359969
SPA,1,475,1900,1150.912343061509
NOR,1,141,1982,492.0841046768219
NOR,1,147,1982,1039.5634656164798
NED,1,149,1982,32.341628466778275
NED,1,150,1982,1460.1940362722369
NED,1,151,1982,2506.2971317945194
NED,1,152,1982,3195.750716688586
NED,1,153,1982,2509.9224496432785
NOR,1,186,1982,2789.585263601015
NOR,1,187,1982,5345.058843738677
NOR,1,188,1982,7275.469312336971
NOR,1,189,1982,7704.904157432946
NOR,1,190,1982,7661.036334901272
NOR,1,191,1982,2294.670207412485
NOR,1,192,1982,2928.1448931789287
NOR,1,193,1982,910.8877326167235
NOR,1,194,1982,387.2541254688438
NED,1,281,1982,4932.625214235605
NED,1,282,1982,5268.782418290773
NOR,1,282,1982,760.4956530042264
NED,1,283,1982,5885.474443825826
NOR,1,283,1982,1041.8768121220846
NED,1,284,1982,6668.144334458986
NOR,1,284,1982,1030.6725867089017
NED,1,285,1982,4813.025229859857
NED,1,286,1982,4400.677480197066
NED,1,287,1982,5305.722432591376
NED,1,288,1982,4817.328756737804
NED,1,289,1982,971.5876369550713
NED,1,290,1982,422.2667455869371
NOR,1,344,1982,1358.6765642959417
NOR,1,345,1982,5758.016153321257
NOR,1,346,1982,5380.39732474392
NOR,1,347,1982,38.87113731561203
NOR,1,532,1982,1589.7678117836313
NED,1,533,1982,1118.7726737317594
NOR,1,533,1982,4863.614777956718
NED,1,534,1982,1741.414803019645
NOR,1,534,1982,8040.93504900209
NED,1,535,1982,2702.806201914147
NOR,1,535,1982,10423.98201408036
NED,1,536,1982,2978.528631544362
NOR,1,536,1982,9035.96215957536
NED,1,537,1982,3809.9423525020206
NOR,1,537,1982,6100.569975018123
NED,1,538,1982,2559.5043866843916
NED,1,539,1982,467.66931255304416
NED,1,541,1982,2071.3291527970696
NED,1,542,1982,3675.729725854538
NED,1,543,1982,4733.248284014491
NED,1,544,1982,6651.202415257116
NED,1,545,1982,8334.542647488273
NED,1,546,1982,9216.25677773754
NED,1,547,1982,10013.847143685934
NED,1,548,1982,10144.125627298698
NED,1,549,1982,8208.083733678992
NED,1,550,1982,6191.767295282081
NED,1,551,1982,2069.2792664147946
NED,1,552,1982,361.6164782660071
NOR,1,552,1982,701.6335468559873
NOR,1,553,1982,4393.136765466841
NOR,1,554,1982,3588.991445759906
NOR,1,555,1982,1013.1502891080181
NOR,1,567,1982,210.8119548805953
NOR,1,568,1982,11575.492631769079
NOR,1,569,1982,9614.656851702
NOR,1,570,1982,6761.869892412288
NOR,1,571,1982,6749.181204039593
NOR,1,572,1982,3572.9754494455656
NOR,1,573,1982,1462.389378745299
NOR,1,574,1982,882.5949998466772
NOR,1,602,1982,677.0155702669063
NOR,1,650,1982,2192.9827777061782
NOR,1,651,1982,8411.284807444907
NOR,1,689,1982,8379.162040529565
NOR,1,690,1982,11810.622809932893
NOR,1,2,1987,2020.188963864076
NOR,1,3,1987,5709.104822304737
NOR,1,4,1987,8406.348302708446
NOR,1,5,1987,9766.974763587317
NOR,1,6,1987,10917.394054784672
