method,distance,num_periods,clustering,avg_total_cost,scenario_cost1900,scenario_cost1982,scenario_cost1987,scenario_cost1992,scenario_cost1995,scenario_cost1997,scenario_cost2002,scenario_cost2008,scenario_cost2009,scenario_cost2012,time
convex_hull,CityBlock,10,completescenario,9.428035158039066e7,8.137718440233663e7,9.296682168767847e7,1.1271142823173144e8,9.596969027815801e7,8.79706467464648e7,1.246161277758719e8,8.890588735117766e7,7.309463236364655e7,9.163189915157437e7,9.355919781526662e7,68.8532756
convex_hull,CityBlock,15,completescenario,9.436574315041925e7,8.215359646286172e7,9.324887893672097e7,1.127088917828536e8,9.593896232168978e7,8.807525596471667e7,1.2409774475167014e8,8.905649242542796e7,7.35441093236902e7,9.217002756150642e7,9.266347197305499e7,126.4500312
convex_hull,CityBlock,2,completescenario,1.0177220759519494e8,9.194908689486995e7,9.620344035329297e7,1.3182279010743919e8,9.890758600528064e7,9.093951163126732e7,1.3891749621631718e8,9.887090828800032e7,7.55402664955719e7,9.284401485166563e7,1.0172697510824405e8,7.7185877
convex_hull,CityBlock,5,completescenario,9.50834153939707e7,8.316237512666321e7,9.206506632775803e7,1.1437878152691558e8,9.661914543818343e7,8.867935436483702e7,1.2504551430362308e8,9.027625527860972e7,7.354480715928042e7,9.106727033608855e7,9.599558407774803e7,28.3719476
convex_hull,CityBlock,100,crosscenario,9.456722617351055e7,8.252033650534739e7,9.361907732444128e7,1.1333751567005381e8,9.37265730562379e7,8.89128115360884e7,1.247501929421612e8,8.867927741449079e7,7.519686161651069e7,9.0754916853822e7,9.417469881595197e7,77.6245196
convex_hull,CityBlock,150,crosscenario,9.447118601310676e7,8.296254386642396e7,9.33861658096985e7,1.1380754978239591e8,9.403958139537555e7,8.849069668793294e7,1.2562638945287327e8,8.82564258405259e7,7.425298797551334e7,9.018000041018303e7,9.370951891014522e7,120.1384758
convex_hull,CityBlock,20,crosscenario,1.1395365955133103e8,1.2116279444469976e8,1.2363266030420688e8,1.550308259871809e8,1.0361560349004884e8,8.951972972330281e7,1.736417031336218e8,1.0329789374094671e8,7.106601675048459e7,9.515211302102649e7,1.0341725491779149e8,7.2600798
convex_hull,CityBlock,50,crosscenario,9.751713367100696e7,8.856173054420999e7,9.847664918191952e7,1.1495447142762071e8,9.662134014577131e7,8.86870186572612e7,1.3571810467919976e8,9.140215494153625e7,7.42031666189661e7,9.04740634096862e7,9.607263710389864e7,21.521633
convex_hull,CityBlock,10,perscenario,9.444926345134169e7,8.201886999164455e7,9.325387675387765e7,1.1240892122580832e8,9.55584778315239e7,8.79474259848288e7,1.2469078384730741e8,8.933655753030369e7,7.458380849178466e7,9.155218292621121e7,9.314172993012656e7,67.4647698
convex_hull,CityBlock,15,perscenario,9.420093129853053e7,8.121909316195019e7,9.297169742118311e7,1.1348227470456833e8,9.48355425539884e7,8.758113149912828e7,1.2550253515926263e8,8.868504303634802e7,7.389369862757114e7,9.105582745048046e7,9.278246937082472e7,173.4753811
convex_hull,CityBlock,2,perscenario,1.0159363934467366e8,9.060750569026104e7,1.0140088618714228e8,1.1475743257047647e8,1.0303058463898495e8,9.710138010106671e7,1.2759928963451946e8,9.744019463347885e7,8.346086764878345e7,1.0240960422085258e8,9.812864812117094e7,7.5088773
convex_hull,CityBlock,5,perscenario,9.603707066401088e7,8.334383500033209e7,9.61155450309791e7,1.1365364451254109e8,9.70057356789242e7,8.992153473877428e7,1.2789623850514525e8,9.012258926292357e7,7.499141277015518e7,9.43105666706685e7,9.300960446966556e7,25.6045136
convex_hull,CosineDist,10,completescenario,9.5024332927787e7,8.292287151828337e7,9.481406874619424e7,1.1235369231596085e8,9.565113819017226e7,9.02651760722524e7,1.2331082252186063e8,8.936746608790404e7,7.515439667213671e7,9.368098489972219e7,9.27227122533833e7,71.7987591
convex_hull,CosineDist,15,completescenario,9.478743516050358e7,8.086467076410152e7,9.46443171502474e7,1.133102129229636e8,9.593690956564076e7,8.93153998136001e7,1.2581933079671651e8,8.904103525342003e7,7.279384347711727e7,9.323712058850247e7,9.29115112727261e7,152.0699303
convex_hull,CosineDist,2,completescenario,9.972781670845705e7,8.992830262873584e7,9.522937432760699e7,1.3079937115209141e8,9.645017353765896e7,8.889268035361832e7,1.2769446559234259e8,9.797205677857739e7,7.870255384115437e7,9.479264239155789e7,9.681654648122685e7,8.4060867
convex_hull,CosineDist,5,completescenario,9.527605724515468e7,8.495910590184495e7,9.457972171137473e7,1.120566827086948e8,9.460112879113089e7,8.991393107241884e7,1.2607958147087143e8,8.920017775906458e7,7.66462385081315e7,9.118717927215524e7,9.353682525585982e7,28.5725374
convex_hull,CosineDist,100,crosscenario,9.402896544648194e7,8.173008041429704e7,9.304514288998297e7,1.14214205154532e8,9.419854108390477e7,8.754231255405912e7,1.2336954204128894e8,8.835645193520296e7,7.423253355202183e7,9.045530293906514e7,9.314554190046462e7,83.2666357
convex_hull,CosineDist,150,crosscenario,9.403929197145638e7,8.237890072790292e7,9.293187327233395e7,1.1272437420464766e8,9.457400592384431e7,8.802626371152112e7,1.2270064695434293e8,8.868389287476152e7,7.412076575134164e7,9.155862500290486e7,9.269357129096279e7,140.8983708
convex_hull,CosineDist,20,crosscenario,9.61879201898464e7,8.614983175022928e7,9.443334906147873e7,1.1697464622489169e8,9.51968658872703e7,8.976451663921669e7,1.2110327652922367e8,9.180104782554814e7,7.833688703253388e7,9.130067431317043e7,9.68181066349011e7,8.3955074
