location,technology,capacity,units
AUS,Gas,8085.918533758387,32.343674135033545
AUS,WindOn,18823.12120932517,188.2312120932517
BEL,Gas,6949.482813817863,27.79793125527145
BEL,WindOn,3929.1640320857937,39.29164032085794
BLK,Nuclear,31106.92509697218,31.10692509697218
BLK,WindOn,1455.5272144801534,14.555272144801533
BLT,Gas,1845.3576047321815,7.381430418928726
BLT,WindOff,1245.0737197525748,12.450737197525749
BLT,WindOn,1299.70900204131,12.9970900204131
CZE,Nuclear,7412.691686049999,7.412691686049999
DEN,Gas,6956.17726524,27.82470906096
FIN,Gas,1624.4663348491624,6.4978653393966495
FIN,Nuclear,6385.933130432267,6.385933130432266
FIN,WindOn,6476.5930865007,64.76593086500701
FRA,Nuclear,63067.424051060836,63.06742405106083
GER,Gas,41972.06841020772,167.88827364083087
GER,WindOn,84520.34388975921,845.2034388975922
IRE,Gas,1760.1551966717145,7.040620786686858
IRE,WindOn,6841.086659737499,68.41086659737499
ITA,Gas,14338.482826012869,57.35393130405148
ITA,SunPV,5593.431780633607,111.86863561267214
ITA,WindOff,2022.7539828011647,20.227539828011647
ITA,WindOn,29879.25149313579,298.7925149313579
NED,SunPV,21867.066668318446,437.34133336636893
NED,WindOff,13050.779417060605,130.50779417060605
NED,WindOn,123906.26518947881,1239.0626518947881
NOR,SunPV,26034.821350743703,520.6964270148741
NOR,WindOff,4707.2964346490935,47.072964346490934
NOR,WindOn,283930.8737656675,2839.308737656675
POL,Gas,9607.196771067896,38.42878708427158
POL,WindOn,28230.00288596867,282.30002885968673
POR,Gas,1511.271110415337,6.0450844416613485
POR,SunPV,755.1810821254559,15.103621642509117
POR,WindOn,1126.7226614569124,11.267226614569124
SKO,Nuclear,2774.98415325,2.77498415325
SPA,Nuclear,25340.08325286,25.34008325286
SWE,Gas,1739.2833417001575,6.95713336680063
SWE,Nuclear,7108.853411605763,7.108853411605763
SWE,WindOn,10589.357307994094,105.89357307994094
SWI,Nuclear,14836.337231821604,14.836337231821604
UKI,Nuclear,41243.76284931585,41.24376284931585
