location,rep_period,time_step,scenario,loss_of_load
NED,1,1,2008,2869.8152260530455
NED,1,1,2009,2413.8371389369586
NED,1,2,2008,3130.5963007811406
NED,1,2,2009,2293.5791875946798
NED,1,3,2008,2751.479733752503
NED,1,3,2009,2361.042092810323
NED,1,4,2008,1500.079311352075
NED,1,4,2009,2447.49914537831
NED,1,5,2008,528.8605375444554
NED,1,5,2009,1962.06372314142
NED,1,6,2009,1297.5280536495097
NED,1,7,2009,1358.9082319948602
NED,1,8,2009,1878.4944338899693
NED,1,9,2009,2419.6785136793405
NED,1,10,2009,2389.6895933968235
NED,1,11,2009,1780.1201933567602
NED,1,12,2009,1121.962003336822
NED,1,13,2009,329.80269015371505
NED,1,15,2009,404.91681365878685
NED,1,16,2009,1731.6966056765514
NED,1,17,2009,3534.963203815636
NED,1,18,2009,3029.875779795413
NED,1,19,2009,3039.7256334441745
NED,1,20,2009,2277.348177144314
NED,1,21,2009,1373.4003548541286
NED,1,22,2009,863.2378245238624
NED,1,25,1997,360.6469704629717
NED,1,26,1997,1944.8258016371146
NED,1,27,1997,3572.2887124213858
NED,1,28,1997,4404.654006607778
NED,1,29,1997,4589.066215254836
NED,1,30,1997,2876.770326875251
NED,1,31,1997,2169.6383812422446
NED,1,32,1997,1639.8794553693224
NED,1,33,1997,1985.6589995018503
NED,1,39,2002,186.52812521131136
NED,1,40,2002,2289.702252658622
NED,1,41,2002,1060.6490573926976
NED,1,46,2009,2085.967475781862
NED,1,47,2009,4044.6403956703716
NED,1,48,2009,3969.3105570029
NED,1,49,2009,3322.559465637898
NED,1,50,2009,3631.0548558532278
NED,1,51,2009,3781.0109817398447
NED,1,52,2009,3608.261548599989
NED,1,53,2009,3351.069625906158
NED,1,54,2009,1624.3521882947293
NED,1,55,2009,569.0393892934981
NED,1,57,1995,398.3680927819714
NED,1,64,1995,3267.4270987789864
NED,1,65,1995,4036.0099041662006
NED,1,66,1995,3219.918504093276
NED,1,67,1995,1996.4864515012823
NOR,1,1,1987,2547.60730639744
NOR,1,2,1987,7533.240046170167
NOR,1,3,1987,9797.12207598437
NOR,1,4,1987,11106.473844602519
NOR,1,5,1987,11370.007739469087
NOR,1,6,1987,11797.419913505013
NOR,1,7,1987,13290.66808403683
NOR,1,8,1987,13643.474122404756
NOR,1,9,1987,13315.060603564032
NOR,1,10,1987,12504.514822109828
NOR,1,11,1987,3581.279434277053
NOR,1,17,2009,138.76470705744214
NOR,1,18,2009,714.8805078512014
NOR,1,19,2009,369.8840045409015
NOR,1,32,2002,2695.3093290510733
NOR,1,34,1987,4820.626431383998
NOR,1,47,1995,1068.1017518584122
NOR,1,61,1995,7124.321301283374
NOR,1,62,1995,11768.14135675686
NOR,1,63,1995,17523.7748144006
NOR,1,63,1997,8610.481632183773
NOR,1,64,1995,17435.648777000428
NOR,1,64,1997,13325.64613622789
NOR,1,65,1995,14516.894684419876
NOR,1,65,1997,15982.076169593889
NOR,1,66,1995,7445.358745271318
NOR,1,66,1997,16579.263568060745
NOR,1,67,1997,17022.886966269947
NOR,1,68,1997,17509.1314812516
NOR,1,69,1997,17480.21258134683
NOR,1,70,1987,1849.3326055838188
NOR,1,70,1997,16808.511866499823
NOR,1,71,1987,1732.6444293327659
NOR,1,71,1997,14866.901197013825
NOR,1,72,1987,5188.362241328947
NOR,1,72,1997,14169.376995216524
NOR,1,73,1987,8911.359871603767
NOR,1,73,1997,13737.521774111046
NOR,1,74,1987,11377.103319987667
NOR,1,74,1997,13736.400701828865
NOR,1,75,1987,12827.902840909843
NOR,1,75,1997,13188.413021830533
NOR,1,75,2009,3435.3041024383256
NOR,1,76,1987,9619.825852473383
NOR,1,76,1997,11254.271632114385
NOR,1,76,2009,7084.883088528765
NOR,1,77,1997,10652.853124990956
NOR,1,77,2009,8317.663972399008
NOR,1,78,1997,7238.142864843314
NOR,1,78,2009,9699.014755363518
NOR,1,79,2009,9928.7847730374
NOR,1,80,2009,6957.497977265793
NOR,1,81,2009,2935.78221798507
NOR,1,87,2002,1901.7821798206896
