location,technology,rep_period,time_step,scenario,production
AUS,Gas,1,1,1997,1434.7868507836422
AUS,Gas,1,1,2008,4585.602802081881
AUS,Gas,1,1,2009,5884.4815472300925
AUS,Gas,1,2,2008,3411.6071916790415
AUS,Gas,1,2,2009,6365.13784016545
AUS,Gas,1,3,2008,2114.3974153732815
AUS,Gas,1,3,2009,6711.924502514177
AUS,Gas,1,4,2008,2161.7508451282974
AUS,Gas,1,4,2009,6913.523727082404
AUS,Gas,1,5,1997,4741.3452513386965
AUS,Gas,1,5,2008,2293.4675934290553
AUS,Gas,1,5,2009,6928.506647295414
AUS,Gas,1,6,1997,4973.655377880397
AUS,Gas,1,6,2008,4107.501819830648
AUS,Gas,1,6,2009,7120.087110687892
AUS,Gas,1,7,1997,4910.511454661229
AUS,Gas,1,7,2008,5412.393713284622
AUS,Gas,1,7,2009,7136.214091293479
AUS,Gas,1,8,1982,2786.3224976000374
AUS,Gas,1,8,1997,3898.039938407356
AUS,Gas,1,8,2008,5799.43724326055
AUS,Gas,1,8,2009,6874.936057770448
AUS,Gas,1,9,1982,6705.409011964783
AUS,Gas,1,9,1997,3092.7942912342132
AUS,Gas,1,9,2008,6154.883488227541
AUS,Gas,1,9,2009,6610.770330340764
AUS,Gas,1,10,1982,8085.918533758387
AUS,Gas,1,10,1997,3277.9552144195304
AUS,Gas,1,10,2008,6379.424949637188
AUS,Gas,1,10,2009,6372.364468214174
AUS,Gas,1,11,1982,8085.918533758387
AUS,Gas,1,11,1997,4759.015671664014
AUS,Gas,1,11,2008,8085.918533758387
AUS,Gas,1,11,2009,6697.450247278006
AUS,Gas,1,12,1982,8085.918533758387
AUS,Gas,1,12,1997,6268.199013587828
AUS,Gas,1,12,2008,8085.918533758387
AUS,Gas,1,12,2009,6617.566188094084
AUS,Gas,1,13,1982,8085.918533758387
AUS,Gas,1,13,1997,7900.77567695088
AUS,Gas,1,13,2008,7852.63562570109
AUS,Gas,1,13,2009,5971.29083103137
AUS,Gas,1,14,1982,8085.918533758387
AUS,Gas,1,14,1997,8085.918533758387
AUS,Gas,1,14,2008,7506.247562667084
AUS,Gas,1,14,2009,5782.626626839907
AUS,Gas,1,15,1982,8085.918533758387
AUS,Gas,1,15,1997,8085.918533758387
AUS,Gas,1,15,2008,7368.026343607481
AUS,Gas,1,15,2009,5684.323987631096
AUS,Gas,1,16,1982,8085.918533758387
AUS,Gas,1,16,1987,1238.2420477888973
AUS,Gas,1,16,1997,8085.918533758387
AUS,Gas,1,16,2008,7287.503239580939
AUS,Gas,1,16,2009,5045.539630311567
AUS,Gas,1,17,1982,8085.918533758387
