location,technology,capacity,units
AUS,Gas,3750.0,15
AUS,Oil,100.0,1
AUS,WindOn,22000.0,220
BEL,Gas,4750.0,19
BLK,Nuclear,30000.0,30
BLK,WindOn,2100.0,21
BLT,Gas,1500.0,6
BLT,Oil,100.0,1
BLT,WindOff,2100.0,21
BLT,WindOn,1200.0,12
CZE,Nuclear,8000.0,8
DEN,Gas,5750.0,23
DEN,WindOn,13600.0,136
FIN,Nuclear,7000.0,7
FIN,WindOn,5400.0,54
FRA,Nuclear,71000.0,71
GER,Gas,49250.0,197
GER,WindOff,51400.0,514
GER,WindOn,100.0,1
IRE,Gas,1250.0,5
IRE,Oil,100.0,1
IRE,WindOn,7900.0,79
ITA,Gas,19250.0,77
ITA,SunPV,19600.0,392
ITA,WindOn,46200.0,462
NED,SunPV,56000.0,1120
NED,WindOff,81100.0,811
NED,WindOn,99000.0,990
NOR,SunPV,29950.0,599
NOR,WindOff,56600.0,566
NOR,WindOn,288300.0,2883
POL,Gas,10750.0,43
POL,WindOn,33200.0,332
POR,Gas,2000.0,8
POR,SunPV,900.0,18
POR,WindOn,2900.0,29
SKO,Nuclear,3000.0,3
SPA,Nuclear,31000.0,31
SWE,Nuclear,13000.0,13
SWI,Nuclear,16000.0,16
UKI,Nuclear,45000.0,45
