location,time_step,scenario,loss_of_load
ITA,162,1900,916.270788439022
ITA,163,1900,325.4088333013294
POR,165,1900,34.19964851222028
NED,440,1900,662.4343537291998
NED,441,1900,980.1838536687987
NED,444,1900,1.8106653905988424
NED,445,1900,2165.0323132263984
NED,446,1900,3605.394170257
NED,447,1900,5673.165303493599
NED,448,1900,6922.126126852299
NED,449,1900,7942.4086025203005
BLT,450,1900,22.094233592642922
CZE,450,1900,727.5968904912988
NED,450,1900,9857.353972245899
SWE,450,1900,78.57025046479976
BEL,451,1900,1325.2079223580804
BLT,451,1900,1977.9703910941298
NED,451,1900,9377.853966653998
UKI,451,1900,4425.131420743704
NED,452,1900,8905.274579699599
NED,453,1900,5890.275601069401
NED,454,1900,4026.8786830727
NED,455,1900,1705.5786707706006
NED,456,1900,62.90443316319988
CZE,475,1900,653.6475456082499
DEN,475,1900,342.78277599704415
SKO,475,1900,538.6462789801544
UKI,475,1900,1083.912273796915
FIN,536,1900,54.88808646379948
NOR,141,1982,506.39693556583825
NOR,147,1982,1052.7329659297588
NED,149,1982,27.841184121457445
NED,150,1982,1458.8349328095733
NED,151,1982,2505.4406169152694
NED,152,1982,3194.9658338594045
NED,153,1982,2506.955260816753
NOR,186,1982,2806.569816265203
NOR,187,1982,5360.451753805356
NOR,188,1982,7289.613637728509
NOR,189,1982,7718.847922886815
NOR,190,1982,7674.878756758059
NOR,191,1982,2311.6873733478396
NOR,192,1982,2943.7856047380133
NOR,193,1982,926.116558207515
NOR,194,1982,403.14732721417005
NED,281,1982,4956.544050548207
NED,282,1982,5279.510066663986
NOR,282,1982,773.4237494797362
NED,283,1982,5897.005621775609
NOR,283,1982,1054.0164066540547
UKI,283,1982,2.8245495156384095
NED,284,1982,6679.865544060286
NOR,284,1982,1042.0968442181947
NED,285,1982,4824.639166819596
NED,286,1982,4412.272908488802
NED,287,1982,5314.643555097225
NED,288,1982,4826.046977577296
NED,289,1982,981.0475323926393
NED,290,1982,432.63948655584346
NOR,344,1982,1371.4132845859513
NOR,345,1982,5767.581088012713
NOR,346,1982,5387.783054139434
NOR,347,1982,43.600167628579584
NOR,532,1982,1598.732183033595
NED,533,1982,1132.7430333645084
NOR,533,1982,4870.561807906136
NED,534,1982,1753.5091465672367
NOR,534,1982,8046.863569097778
NED,535,1982,2714.5103723704888
NOR,535,1982,10429.773755098297
NED,536,1982,2988.9945727951035
NOR,536,1982,9043.372860954709
NED,537,1982,3818.77320922535
NOR,537,1982,6109.960185080015
NED,538,1982,2565.885353456761
NED,539,1982,472.28876296593035
NED,541,1982,2073.5211299173516
NED,542,1982,3677.7271326100054
NED,543,1982,4734.963504906003
NED,544,1982,6652.356269963824
NED,545,1982,8335.583796103903
NED,546,1982,9216.836551328885
NED,547,1982,10013.251830347615
NED,548,1982,10143.169005932785
NED,549,1982,8203.266587085494
NED,550,1982,6183.7141181354245
NED,551,1982,2053.9543462667207
NED,552,1982,341.0677343108655
NOR,552,1982,707.285609481185
NOR,553,1982,4397.027381420971
NOR,554,1982,3594.753538573257
NOR,555,1982,1022.1866033910555
NOR,567,1982,208.5957444526921
NOR,568,1982,11580.91551875171
NOR,569,1982,9622.367020788271
NOR,570,1982,6771.879229115069
NOR,571,1982,6759.624757841395
NOR,572,1982,3585.9140307304424
NOR,573,1982,1476.3225071195484
NOR,574,1982,895.9090823124734
NOR,602,1982,683.7136782390626
NOR,650,1982,2200.7176701283406
NOR,651,1982,8415.18047502252
NOR,689,1982,8385.710059235189
NOR,690,1982,11814.489511515276
NOR,2,1987,2024.7805351094357
NOR,3,1987,5711.984200349123
NOR,4,1987,8408.656279129424
NOR,5,1987,9768.978557313967
NOR,6,1987,10919.633226706286
NOR,7,1987,12755.057213952461
NOR,8,1987,13249.96657925271
NOR,9,1987,12598.647715531662
NOR,10,1987,11324.979866320386
NOR,11,1987,521.3926373241738
NOR,69,1987,1484.4987776328135
NOR,70,1987,4301.201789286003
NOR,71,1987,4249.866323952768
NOR,72,1987,7205.61805107789
NOR,73,1987,10369.60285667588
NOR,74,1987,12430.1621038478
NOR,75,1987,13272.490348768926
NOR,76,1987,10006.79393489975
NOR,141,1987,6835.951373551996
NOR,142,1987,7355.428044594971
NOR,143,1987,5707.236393329669
NOR,144,1987,4594.8771683857685
NOR,158,1987,3493.0568481360597
NOR,159,1987,10381.567680710921
NOR,160,1987,13985.851322234263
NOR,161,1987,15341.586793910947
BLT,162,1987,98.93281389792537
DEN,162,1987,5.2647851911087855
NOR,162,1987,15667.779548246943
NOR,163,1987,15502.650931588041
NOR,164,1987,14241.920169988587
NOR,165,1987,12365.64297099697
NOR,166,1987,7958.8116112196785
NED,171,1987,692.9225355606748
NOR,365,1987,703.6672346838122
NOR,366,1987,5226.514512864213
NOR,367,1987,9249.933245502645
NOR,368,1987,10230.41893378726
NOR,369,1987,8587.582161910022
NOR,370,1987,4516.924288855491
NOR,376,1987,2595.9341514252283
NOR,377,1987,2923.7139113884423
NOR,378,1987,3651.7104390586683
NOR,379,1987,4504.87463384165
NOR,380,1987,6794.744662891762
NOR,381,1987,5917.434217421301
NOR,382,1987,359.73066555487094
NED,400,1987,1468.3483670984042
NED,401,1987,5963.6365762940395
NED,402,1987,7281.5114443626735
NED,403,1987,6681.386315969662
NED,404,1987,5724.968581218943
NED,405,1987,4027.7493347556847
NED,406,1987,3264.080171826478
NED,407,1987,3954.379137186399
NED,408,1987,3796.0322977256974
NED,409,1987,2531.704775510819
NED,410,1987,837.2939281095389
NED,431,1987,1398.965193121035
NED,432,1987,2553.523241341686
NED,433,1987,2773.5368861684083
NED,434,1987,3010.3357643892223
NED,435,1987,3232.5069875413337
NED,436,1987,3972.935435119264
NED,437,1987,4802.156377736659
NED,438,1987,4589.812036137051
NED,439,1987,5407.357104629498
NED,440,1987,5726.561651512776
NED,441,1987,5907.689263848305
NED,442,1987,3648.538773861038
NED,443,1987,1877.0429521431051
NED,444,1987,766.9976584910073
NED,445,1987,2145.5817738843607
NED,446,1987,2441.2743595980937
NED,447,1987,3581.1043629354926
NED,448,1987,6365.161290839623
NED,449,1987,9039.216421270503
NED,450,1987,9994.975270573574
NED,451,1987,10470.313214823618
NED,452,1987,11065.972529383775
NED,453,1987,10520.952237944293
NED,454,1987,9800.205519820927
NED,455,1987,9142.062367411048
NED,456,1987,8354.31726638986
NED,457,1987,4433.758089806574
NED,458,1987,4094.1518406978876
NED,459,1987,3804.0451780489266
NED,460,1987,3584.927740374221
NED,461,1987,3078.188659400619
NED,462,1987,2646.8195610862126
NED,463,1987,2790.368264644513
NED,464,1987,2542.565381033306
NED,465,1987,1489.7205629239634
NED,474,1987,938.0003767762528
NED,475,1987,3634.6820319044873
NOR,475,1987,2352.1303926204637
NED,476,1987,4189.869542813638
NOR,476,1987,4017.921523749499
NED,477,1987,3082.6870865207056
NOR,477,1987,3814.3005059246334
NED,478,1987,1577.1800370012352
NOR,478,1987,3640.884856146293
NOR,479,1987,3134.317071902986
NED,480,1987,467.93379022315185
NOR,480,1987,2479.509972859856
NED,481,1987,839.8188898921167
NOR,481,1987,129.44605097188105
NED,482,1987,414.17606767503594
NED,483,1987,852.9303980394841
NED,484,1987,312.07822768360325
NED,489,1987,836.1853204682673
NOR,489,1987,644.9878642046169
NED,490,1987,543.0257203416936
NOR,490,1987,5339.772572641597
NED,491,1987,253.5513450439296
NOR,491,1987,7606.230777023997
NOR,492,1987,9579.084480273787
NOR,493,1987,10745.465582359508
NED,494,1987,846.1256857235085
NOR,494,1987,11561.97003521015
NED,495,1987,1911.3283415433732
NOR,495,1987,12545.792251626941
NED,496,1987,3997.9674913160998
NOR,496,1987,11210.840406354286
NED,497,1987,5827.469657217423
NOR,497,1987,7299.896298334495
NED,498,1987,6251.661115788644
NOR,498,1987,3940.150796111937
NED,499,1987,5373.028127191283
NED,500,1987,5392.139692375491
NED,501,1987,5176.4164984715535
NED,502,1987,4181.853541259573
NED,503,1987,3048.654594034907
NED,504,1987,1680.2471252549844
NED,505,1987,2563.0914839135867
NED,506,1987,1531.1866732376852
NED,507,1987,1544.1840408668713
NED,508,1987,968.7194415782069
NED,509,1987,137.81397520640076
NED,511,1987,71.81380575048934
NOR,511,1987,653.7921055598217
NED,512,1987,747.0701251022201
NOR,512,1987,2770.7302100751713
NED,513,1987,3065.5301968621507
NOR,513,1987,2583.9809016911004
NED,514,1987,5335.9628544429615
NOR,514,1987,1577.8151554301683
NED,515,1987,4204.884288096926
NOR,515,1987,90.0085745782144
NED,516,1987,3294.7641180802607
NOR,516,1987,23.805665976047294
NED,517,1987,4936.018177118823
NED,518,1987,4964.616555938468
NED,519,1987,4948.598946526138
NED,520,1987,5525.418620437857
NED,521,1987,5491.352268836753
NED,522,1987,5573.412336030313
NED,523,1987,4968.329323204951
NED,524,1987,3545.685002469442
NED,525,1987,249.75731359333622
NED,567,1987,2028.9111080267974
NED,568,1987,5060.137259407004
NED,569,1987,6042.203155637197
NED,570,1987,5094.539826513945
NED,571,1987,2542.358079911656
NED,572,1987,1411.223487308228
NED,573,1987,51.820390016192505
NED,624,1987,2330.115576784273
NED,625,1987,1256.8536924294428
NED,626,1987,1881.798383428334
NED,627,1987,2416.225074619796
NED,628,1987,954.5269209677045
NED,713,1987,1686.8511082670682
NED,714,1987,1300.8440322761023
NED,715,1987,412.1588258556792
NED,716,1987,245.28290620171742
NED,719,1987,1742.433949472754
NED,720,1987,2434.1027760673487
NOR,124,1992,1117.9883192882976
NOR,126,1992,1182.1865274824588
NOR,127,1992,1438.1097532349836
NOR,221,1992,3401.078844868477
NOR,222,1992,3481.220066777487
NOR,223,1992,3312.422305530406
NOR,224,1992,2488.488781379595
NED,245,1992,1698.7943272517268
NED,246,1992,1901.6137643820014
NED,247,1992,2467.7181689825156
NED,248,1992,2607.493388323773
NED,249,1992,2934.2465300332024
NED,257,1992,5030.976005126186
NED,258,1992,5891.414178041081
NED,259,1992,5876.383617983503
NED,260,1992,5930.0188441700375
NED,261,1992,3208.7074403769325
NOR,460,1992,252.324193974242
NOR,461,1992,2583.8536420938763
NOR,462,1992,4401.650958970822
NOR,463,1992,6991.556834244861
NOR,464,1992,8808.006025642955
NOR,465,1992,9028.154429709359
NOR,466,1992,2198.50883172802
NOR,489,1992,1366.6449580512708
NOR,490,1992,848.4278536945012
NOR,491,1992,1167.3265555668995
NOR,495,1992,3363.0403049147126
NOR,496,1992,9134.621220957652
NOR,497,1992,10195.270724302063
NOR,498,1992,10688.122838451256
NOR,499,1992,10496.878893937828
NOR,500,1992,7767.269541084245
NOR,501,1992,1222.4842484500623
NED,549,1992,1525.4262223763853
NED,550,1992,3133.0967766531917
NED,551,1992,4137.508104142898
NED,552,1992,5258.212312535322
NED,553,1992,5048.075837553656
NED,554,1992,5275.017111971102
NED,555,1992,5467.132309033276
NED,556,1992,5374.840934746473
NED,557,1992,5557.0976751640155
NED,558,1992,4805.942457971868
NED,559,1992,5435.86514804948
NED,560,1992,6020.386524536024
NED,561,1992,6012.3156370841925
NED,568,1992,1970.1831873476685
NED,569,1992,9098.035465792076
NED,570,1992,10564.380066119998
NED,571,1992,10544.124946782067
NED,572,1992,11269.425530586608
NED,573,1992,10555.59231638925
NED,574,1992,9906.359002552676
NED,575,1992,9198.731681104897
NED,576,1992,8350.053073212019
NED,577,1992,7100.069623279401
NED,578,1992,6367.68976349371
NED,579,1992,5735.616138402911
NED,580,1992,5868.915509425316
NED,581,1992,5712.68595375971
NED,582,1992,3930.352537031809
NED,583,1992,3326.414096180684
NED,584,1992,1920.7948918784527
NED,585,1992,238.48304812241383
NED,641,1992,1036.8753994101644
NED,642,1992,1418.1279464013858
NED,643,1992,1503.8059189117416
NED,644,1992,2446.325038821357
NED,645,1992,2577.4297151810874
NED,646,1992,2047.248437101159
NED,647,1992,822.8913445735677
NED,648,1992,827.8106661653173
NED,649,1992,1045.2351539917586
NED,650,1992,1584.3704702917314
NED,651,1992,1079.7699136496667
NED,652,1992,1390.150587946064
NED,653,1992,1071.8729801675838
NED,654,1992,644.0513767361631
NED,655,1992,1058.951593269749
NED,656,1992,1596.9929215518343
NED,657,1992,1054.0560228317056
NED,665,1992,1497.8303409701814
NED,696,1992,1193.1212307783562
NED,697,1992,3531.0642671263413
NED,698,1992,4692.721701967148
NED,699,1992,4594.73777361278
NED,700,1992,4539.52214118942
NED,701,1992,3972.724084189823
NED,702,1992,2329.396933832284
NED,703,1992,2530.2800039084577
NED,704,1992,2817.896987201165
NED,705,1992,3722.76192134938
NED,706,1992,3163.64318735816
NED,707,1992,2225.9538550794873
NED,708,1992,1457.6467720282044
NED,709,1992,2190.3143791249486
NED,710,1992,1452.4170757257298
NED,711,1992,1781.2209848389912
NED,712,1992,3150.8410048136093
NED,713,1992,5004.827902821741
NED,714,1992,6500.613649543009
NED,715,1992,6899.331781299083
NED,716,1992,7558.15728588557
NED,717,1992,6923.640266694888
NED,718,1992,6443.777229268091
NED,719,1992,7936.002889012903
NED,720,1992,7115.010910565402
NOR,47,1995,2601.5677703589
NOR,48,1995,450.0650493104429
NOR,61,1995,5526.021044038169
NOR,62,1995,10599.810318692376
NOR,63,1995,17899.548255963186
NOR,64,1995,18166.486786829002
NED,65,1995,1006.9566480021294
NOR,65,1995,15823.321442995808
NOR,66,1995,10031.040699663554
NOR,67,1995,3295.488872420007
NOR,286,1995,12293.79283070822
NOR,287,1995,14188.12991284302
NOR,288,1995,13164.271866247482
NOR,289,1995,7691.539842888737
NOR,290,1995,2248.611146488148
NED,584,1995,493.08943956593066
NED,585,1995,3507.1990723755116
NED,586,1995,4665.275201565968
NED,587,1995,3745.465730609656
NED,588,1995,3733.3214239742265
NED,589,1995,5248.91738848602
NED,590,1995,5221.586391525396
NED,591,1995,5532.379119276962
NED,592,1995,6779.918819989186
NED,593,1995,6819.6867563426895
NED,594,1995,4383.57004026864
NOR,646,1995,10.754097952423763
NOR,647,1995,6063.061355769898
NOR,648,1995,6855.4420084432995
NOR,649,1995,5983.025087538192
