method,distance,num_periods,clustering,avg_total_cost,time,scenario,scenario_cost
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,1900,8.164388581094706e7
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,1982,9.268847088958818e7
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,1987,1.1352348612517399e8
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,1992,9.444596385403648e7
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,1995,8.780069239348885e7
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,1997,1.2675833657230458e8
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,2002,8.860032212512398e7
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,2008,7.401487507707244e7
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,2009,9.035093249563538e7
blended,CityBlock,100,cross_scenario,9.436826130310003e7,85.3242229,2012,9.385564768762948e7
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,1900,8.279780341712868e7
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,1982,9.292710004282393e7
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,1987,1.1347013537318054e8
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,1992,9.444871989771113e7
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,1995,8.800711996946342e7
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,1997,1.2640859805481619e8
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,2002,8.847447898739609e7
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,2008,7.403387318798897e7
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,2009,9.021762206313655e7
blended,CityBlock,150,cross_scenario,9.443544861812784e7,162.7826963,2012,9.356903518763286e7
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,1900,1.1946271660661736e8
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,1982,1.2616621161786383e8
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,1987,1.5897099870372388e8
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,1992,1.0635796422968435e8
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,1995,9.129004582145002e7
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,1997,1.763007051561989e8
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,2002,9.993710152555652e7
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,2008,7.057316772145112e7
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,2009,9.844082777502444e7
blended,CityBlock,20,cross_scenario,1.1479482611381489e8,6.424668,2012,1.004485219805786e8
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,1900,8.84315639238773e7
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,1982,9.682731007016832e7
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,1987,1.1511013446838476e8
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,1992,9.621447957008624e7
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,1995,8.827345559945872e7
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,1997,1.3616111011572644e8
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,2002,9.088464237946814e7
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,2008,7.355560827525711e7
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,2009,9.018048652431579e7
blended,CityBlock,50,cross_scenario,9.709317462490913e7,25.7168629,2012,9.529295532234856e7
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,1900,8.224360720890263e7
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,1982,9.231561625102349e7
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,1987,1.1285061538918665e8
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,1992,9.534168434655502e7
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,1995,8.796072333024973e7
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,1997,1.2375700197609556e8
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,2002,8.88070976806394e7
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,2008,7.374629539499468e7
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,2009,9.103325527531317e7
blended,CityBlock,100,group_scenario,9.414459252642679e7,85.9764362,2012,9.339002841130766e7
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,1900,8.257692960745847e7
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,1982,9.289032053594032e7
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,1987,1.12036459868137e8
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,1992,9.554141531948525e7
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,1995,8.8003502390632e7
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,1997,1.2258817585941921e8
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,2002,8.924054385457179e7
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,2008,7.43014050064546e7
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,2009,9.162346279673946e7
blended,CityBlock,150,group_scenario,9.418540750514106e7,154.8762905,2012,9.305185981257251e7
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,1900,9.208085122878385e7
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,1982,9.625123837248132e7
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,1987,1.3295792280162448e8
