method,clustering,blended,num_periods,cost,time,distance,data
cross_scenario,convex_hull,false,10,4.4709574166492e7,3.117587,CityBlock,centered
cross_scenario,convex_hull,false,20,4.4706047900988e7,8.6878731,CityBlock,centered
cross_scenario,convex_hull,false,3,5.021761593097e7,0.6474791,CityBlock,centered
cross_scenario,convex_hull,false,10,4.4714664095532e7,3.0693576,CosineDist,centered
cross_scenario,convex_hull,false,20,4.4705910529806e7,8.3651821,CosineDist,centered
cross_scenario,convex_hull,false,3,4.8635732602413e7,0.7463413,CosineDist,centered
cross_scenario,convex_hull,false,10,4.4707411299991e7,3.1423818,SqEuclidean,centered
cross_scenario,convex_hull,false,20,4.4707354754061e7,9.2856932,SqEuclidean,centered
cross_scenario,convex_hull,false,3,5.0700770642507e7,0.726452,SqEuclidean,centered
stochastic,stochastic,false,0,4.4705675847394e7,100.6591666,N/A,centered
cross_scenario,k_medoids,false,10,4.4706386093991e7,2.6455819,CityBlock,centered
cross_scenario,k_medoids,false,20,4.4705572241082e7,8.1007852,CityBlock,centered
cross_scenario,k_medoids,false,3,6.589733225879058e10,0.8653125,CityBlock,centered
cross_scenario,k_medoids,false,10,4.4707495364346e7,2.6757162,CosineDist,centered
cross_scenario,k_medoids,false,20,4.4705534360207e7,8.2096774,CosineDist,centered
cross_scenario,k_medoids,false,3,2.3213559011213e9,0.5974093,CosineDist,centered
cross_scenario,k_medoids,false,10,4.4705911787368e7,2.778552,SqEuclidean,centered
cross_scenario,k_medoids,false,20,4.4705576739479e7,8.5658012,SqEuclidean,centered
cross_scenario,k_medoids,false,3,2.321354331722552e9,0.6128721,SqEuclidean,centered
cross_scenario,k_means,false,10,4.4706024822436e7,2.7382701,CityBlock,centered
cross_scenario,k_means,false,20,4.4705592514625e7,9.2913527,CityBlock,centered
cross_scenario,k_means,false,3,2.321355132201188e9,0.5440441,CityBlock,centered
cross_scenario,k_means,false,10,4.4706024822436e7,2.6928919,CosineDist,centered
cross_scenario,k_means,false,20,4.4705592514625e7,9.4070572,CosineDist,centered
cross_scenario,k_means,false,3,2.321355132201188e9,0.5774524,CosineDist,centered
cross_scenario,k_means,false,10,4.4706024822436e7,2.8393254,SqEuclidean,centered
cross_scenario,k_means,false,20,4.4705592514625e7,8.9852391,SqEuclidean,centered
cross_scenario,k_means,false,3,2.321355132201188e9,0.6243734,SqEuclidean,centered
cross_scenario,convex_hull,false,10,5.2826481303187e7,2.6285522,CityBlock,close
cross_scenario,convex_hull,false,20,5.2826209205523e7,7.6706038,CityBlock,close
cross_scenario,convex_hull,false,3,6.641417878762191e9,0.5589673,CityBlock,close
cross_scenario,convex_hull,false,10,5.2819164141181e7,3.1094695,CosineDist,close
cross_scenario,convex_hull,false,20,5.2819045684547e7,7.6268698,CosineDist,close
cross_scenario,convex_hull,false,3,8.742774988385027e9,0.5887468,CosineDist,close
cross_scenario,convex_hull,false,10,5.2818849487238e7,2.8038867,SqEuclidean,close
cross_scenario,convex_hull,false,20,5.2817512811821e7,7.3120601,SqEuclidean,close
cross_scenario,convex_hull,false,3,1.07829934104214e10,0.6509226,SqEuclidean,close
stochastic,stochastic,false,0,5.2821639674481e7,79.2005016,N/A,close
cross_scenario,k_medoids,false,10,1.58520348285631e9,2.7467146,CityBlock,close
cross_scenario,k_medoids,false,20,6.87782807727318e8,7.536732,CityBlock,close
cross_scenario,k_medoids,false,3,4.071165576797026e10,0.602361,CityBlock,close
cross_scenario,k_medoids,false,10,2.966104162938755e9,3.0578148,CosineDist,close
cross_scenario,k_medoids,false,20,5.69565820751821e8,8.422512,CosineDist,close
cross_scenario,k_medoids,false,3,5.468077463902621e10,0.6981552,CosineDist,close
cross_scenario,k_medoids,false,10,1.207733233995939e9,2.7368395,SqEuclidean,close
cross_scenario,k_medoids,false,20,6.35877553494667e8,7.6657936,SqEuclidean,close
