method,blended,month,learning_rate,avg_total_cost,time,time_with_dispatch,scenario,scenario_cost
cross_scenario,true,1,0.0001,9.602413045631027e7,30.9618391,51.1231904,1982,9.339119005206817e7
cross_scenario,true,1,0.0001,9.602413045631027e7,30.9618391,51.1231904,1987,1.1163824796417814e8
cross_scenario,true,1,0.0001,9.602413045631027e7,30.9618391,51.1231904,1992,9.514133674850814e7
cross_scenario,true,1,0.0001,9.602413045631027e7,30.9618391,51.1231904,1995,8.987877353552268e7
cross_scenario,true,1,0.0001,9.602413045631027e7,30.9618391,51.1231904,1997,1.1993368387070982e8
cross_scenario,true,1,0.0001,9.602413045631027e7,30.9618391,51.1231904,2002,9.021565201864175e7
cross_scenario,true,1,0.0001,9.602413045631027e7,30.9618391,51.1231904,2008,7.758373140190914e7
cross_scenario,true,1,0.0001,9.602413045631027e7,30.9618391,51.1231904,2009,9.128401562172982e7
cross_scenario,true,1,0.0001,9.602413045631027e7,30.9618391,51.1231904,2012,9.515054289352481e7
cross_scenario,true,10,0.0001,7.305618458255246e7,28.9472975,49.2535243,1982,6.918700101041862e7
cross_scenario,true,10,0.0001,7.305618458255246e7,28.9472975,49.2535243,1987,7.557253786240545e7
cross_scenario,true,10,0.0001,7.305618458255246e7,28.9472975,49.2535243,1992,7.730941414696947e7
cross_scenario,true,10,0.0001,7.305618458255246e7,28.9472975,49.2535243,1995,6.772333146393323e7
cross_scenario,true,10,0.0001,7.305618458255246e7,28.9472975,49.2535243,1997,7.480778845047818e7
cross_scenario,true,10,0.0001,7.305618458255246e7,28.9472975,49.2535243,2002,7.17457115755108e7
cross_scenario,true,10,0.0001,7.305618458255246e7,28.9472975,49.2535243,2008,6.469997088733204e7
cross_scenario,true,10,0.0001,7.305618458255246e7,28.9472975,49.2535243,2009,8.058108765862651e7
cross_scenario,true,10,0.0001,7.305618458255246e7,28.9472975,49.2535243,2012,7.58788181872978e7
cross_scenario,true,11,0.0001,8.561328771267417e7,28.3944681,49.2697021,1982,7.631943393175808e7
cross_scenario,true,11,0.0001,8.561328771267417e7,28.3944681,49.2697021,1987,1.023498900850651e8
cross_scenario,true,11,0.0001,8.561328771267417e7,28.3944681,49.2697021,1992,8.138410585143265e7
cross_scenario,true,11,0.0001,8.561328771267417e7,28.3944681,49.2697021,1995,9.59966977403599e7
cross_scenario,true,11,0.0001,8.561328771267417e7,28.3944681,49.2697021,1997,8.414766134330109e7
cross_scenario,true,11,0.0001,8.561328771267417e7,28.3944681,49.2697021,2002,8.604263475710943e7
cross_scenario,true,11,0.0001,8.561328771267417e7,28.3944681,49.2697021,2008,8.51914270068214e7
cross_scenario,true,11,0.0001,8.561328771267417e7,28.3944681,49.2697021,2009,7.372920254077102e7
cross_scenario,true,11,0.0001,8.561328771267417e7,28.3944681,49.2697021,2012,8.535853615744889e7
cross_scenario,true,12,0.0001,1.087537646309323e8,30.6656556,50.668835,1982,1.1415050327830951e8
cross_scenario,true,12,0.0001,1.087537646309323e8,30.6656556,50.668835,1987,1.2547538120688778e8
cross_scenario,true,12,0.0001,1.087537646309323e8,30.6656556,50.668835,1992,9.428980591483358e7
cross_scenario,true,12,0.0001,1.087537646309323e8,30.6656556,50.668835,1995,1.136864212334564e8
cross_scenario,true,12,0.0001,1.087537646309323e8,30.6656556,50.668835,1997,1.0564246420512757e8
cross_scenario,true,12,0.0001,1.087537646309323e8,30.6656556,50.668835,2002,1.0547780418114078e8
cross_scenario,true,12,0.0001,1.087537646309323e8,30.6656556,50.668835,2008,1.0945151528156589e8
cross_scenario,true,12,0.0001,1.087537646309323e8,30.6656556,50.668835,2009,1.0786309870555863e8
cross_scenario,true,12,0.0001,1.087537646309323e8,30.6656556,50.668835,2012,1.0274688767151067e8
cross_scenario,true,2,0.0001,9.381932480769351e7,26.9076715,48.5095402,1982,9.614359265580904e7
cross_scenario,true,2,0.0001,9.381932480769351e7,26.9076715,48.5095402,1987,1.1028512242998861e8
cross_scenario,true,2,0.0001,9.381932480769351e7,26.9076715,48.5095402,1992,9.557498029881719e7
cross_scenario,true,2,0.0001,9.381932480769351e7,26.9076715,48.5095402,1995,8.017465674539368e7
cross_scenario,true,2,0.0001,9.381932480769351e7,26.9076715,48.5095402,1997,7.688809142651455e7
cross_scenario,true,2,0.0001,9.381932480769351e7,26.9076715,48.5095402,2002,7.575407435409814e7
cross_scenario,true,2,0.0001,9.381932480769351e7,26.9076715,48.5095402,2008,8.763278480509596e7
cross_scenario,true,2,0.0001,9.381932480769351e7,26.9076715,48.5095402,2009,1.1490524154042758e8
cross_scenario,true,2,0.0001,9.381932480769351e7,26.9076715,48.5095402,2012,1.0701537901309687e8
cross_scenario,true,3,0.0001,7.962443305709812e7,26.8614137,49.466724299999996,1982,7.49761394156182e7
cross_scenario,true,3,0.0001,7.962443305709812e7,26.8614137,49.466724299999996,1987,1.0267223966794026e8
cross_scenario,true,3,0.0001,7.962443305709812e7,26.8614137,49.466724299999996,1992,7.105782173733228e7
cross_scenario,true,3,0.0001,7.962443305709812e7,26.8614137,49.466724299999996,1995,7.26197250747986e7
cross_scenario,true,3,0.0001,7.962443305709812e7,26.8614137,49.466724299999996,1997,8.1719413774923e7
cross_scenario,true,3,0.0001,7.962443305709812e7,26.8614137,49.466724299999996,2002,7.525141291120054e7
cross_scenario,true,3,0.0001,7.962443305709812e7,26.8614137,49.466724299999996,2008,7.93631466881176e7
cross_scenario,true,3,0.0001,7.962443305709812e7,26.8614137,49.466724299999996,2009,8.199265177237287e7
cross_scenario,true,3,0.0001,7.962443305709812e7,26.8614137,49.466724299999996,2012,7.696734647157976e7
cross_scenario,true,4,0.0001,7.217208644996549e7,31.7967039,53.135016199999995,1982,7.16630968138819e7
cross_scenario,true,4,0.0001,7.217208644996549e7,31.7967039,53.135016199999995,1987,7.048651503748241e7
cross_scenario,true,4,0.0001,7.217208644996549e7,31.7967039,53.135016199999995,1992,6.98693952004188e7
cross_scenario,true,4,0.0001,7.217208644996549e7,31.7967039,53.135016199999995,1995,6.660950366872932e7
cross_scenario,true,4,0.0001,7.217208644996549e7,31.7967039,53.135016199999995,1997,6.799121411392629e7
cross_scenario,true,4,0.0001,7.217208644996549e7,31.7967039,53.135016199999995,2002,7.871678429469557e7
