method,clustering,blended,month,num_periods,avg_total_cost,time,scenario,scenario_cost
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1900,4.6968518250836575e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1982,3.8245768436854136e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1987,6.707527275921323e9
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1992,1.4327087907040586e10
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1995,1.7181399579138741e9
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,1997,3.580928372664003e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,2002,3.5259159962886655e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,2008,3.4608114134701777e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,2009,3.543076571091741e8
cross_scenario,convex_hull,true,1,100,2.536515458654851e9,72.2353295,2012,3.4918334344435275e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1900,4.8954823112288636e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1982,3.8237663418228656e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1987,7.846875454664661e9
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1992,1.5598194796178534e10
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1995,1.7181575563075817e9
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,1997,3.580371751424288e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,2002,3.5240999850195515e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,2008,3.4621918475659317e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,2009,3.541241970866471e8
cross_scenario,convex_hull,false,1,100,2.7795248343948374e9,58.0408473,2012,3.4930511600479794e8
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1900,1.5871927339085379e10
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1982,1.0294798148601353e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1987,1.7128938463502016e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1992,5.061438859599502e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1995,3.3451509885128374e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,1997,2.6252968888687415e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,2002,1.3265299042372422e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,2008,7.84200803232331e8
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,2009,1.2161834684462886e9
group_scenario,convex_hull,true,1,100,3.4913145789396396e9,95.223304,2012,1.9400438762037363e9
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1900,1.737526417587348e10
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1982,5.678986613310047e8
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1987,2.9146399458156013e9
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1992,7.297017656226619e9
